ID,concept_ID_parent,concept_name,concept_name_short,concept_description
1558,2,VMMC Program,Mc,VMMC Program
1559,1558,VMMC report check sums,McChk,Check sum fields on the reporting form
1561,1558,VMMC services report,McProgRep,
1562,1559,CHECK: Total HIV ascertainment,McChkTotAsc,Check sum field on reporting form for total number of males ascertained for HIV status
1563,1559,CHECK: Total pre-op status,McChkPreOp,Check sum field on reporting form for total number of pre-op status  assesment
1564,1559,CHECK: Total clients age group,McChkAgegrp,
1565,1559,CHECK: Total VMMC method,McChkmet,
1566,1559,CHECK: Total VMMC location,McChkLoc,
1567,1559,CHECK: Total VMMC 1st Visits,McChk1stVis,Check sum field on reporting form for total number of males with 1st  follow-up visit
1568,1559,CHECK: Total VMMC 2nd visits,McChk2ndVis,Check sum field on reporting form for total number of males with 2nd follow-up visit
1569,1559,CHECK: Total VMMC severe AE,McChkSevAE,Check sum field on reporting form for total number of males with severe AE
1570,1561,HIV  status ascertainment,McOutcHiv,
1571,1570,HIV status not ascertained,McOutcHivNd,HIV status not ascertained at VMMC
1572,1570,HIV status ascertained,McOutcHivAsc,HIV ascertained at VMMC
1573,1572,Valid previous test result,McOutcHivAscPre,Previous HIV test result ascertained
1574,1572,New test result at VMMC,McOutcHivNew,New HIV test result done at VMMC
1575,1573,Prev+ not on ART,McOutcHivPrePoNA,Previous HIV positive males not on ART
1576,1573,Prev+ on ART,McOutcHivPrepoA,Previous positive males on ART
380,754,ART patients working,ARTOutcWork,ART patients working as of the last visit before end of reporting period
381,754,ART patients walking,ARTOutcWalk,ART patients ambulatory as of the last visit before end of reporting period
382,744,Adult second line,ARTOutcRegim2ad,Standard adult second line ART regimen (2004 guidelines): AZT/3TC + TDF + LPV/r
383,745,Paediatric second line,ARTOutcRegim2ch,Standard paediatric second line ART regimen (2004 guidelines): ABC/3TC + ddI + LPV/r
384,740,Alternative first line unspecified,ARTOutcRegim1Alt,Unspecified adult or paediatric alternative first line regimen (2004 guidelines): Regimen 2  3 or 4 (2011 guidelines)
385,749,PTB within the last  24 months or current,ARTRegTBRecPtb,Pulmonary TB current or within the last 24 months at the time of ART initiation
386,749,EPTB within the last 24 months or current,ARTRegTBRecEptb,Extra-pulmonary TB within the last 24 months or current at the time of ART initiation
387,749,Unspec. TB within the last 24 months or current,ARTRegTbRecTb,TB unspecified location within 24 months or current at ART initiation
389,395,Report period,CohPeriod,Reporting periods for cohort data elements: month 1  2 or 3 of the specified quarter  the whole quarter or cumulative
390,389,1st month of quarter,CohPeriodM1,First month of the referenced quarter: Jan  Apr  Jul or Oct
391,389,2nd month of quarter,CohPeriodM2,Second month of referenced quarter: Feb  May  Aug or Nov
392,389,3rd month of quarter,CohPeriodM3,Third month of referenced quarter: Mar  Jun  Sep or Dec
393,389,Quarter,CohPeriodQuart,All 3 months of the referenced quarter
394,389,Cumulative,CohPeriodCumul,Cumulative period starting at the start date of the clinic and ending at the end of the referenced quarter. Zero is used in the period_obs field of the cohort_period table for cumulative records to represent infinite observation periods
395,2,Data dimensions,Data,Attributes of patient data stored in the cohort table
396,395,Sub groups,DataTyp,Clinic own (unchecked) or checked data (by supervision team)  all patients or subgroups (e.g. children)
397,396,All patients (unchecked data),DataTypRaw,Clinic own data (unchecked by supervision team)
398,396,All patients (checked data),DataTypCheck,Data verified by supervision team
399,21,Unknown,ARTRegOccUnk,Occupation unknown
401,396,12 month survival children,DataTyp12mChild,Only children in the cohort (under age 15 years at the time of initiation)
402,147,ART - RegNo's correct for transfers in,QChkRegTiregno,ART register - ARV clinic registration numbers not correctly assigned for transfers in
403,147,ART - Registration continuous,QChkRegRegcont,ART register - Registration process not continuous (gaps at the end of quarter)
404,147,ART - Occupation recorded,QChkRegOcc,ART register - Patient occupation not consistently recorded in register
405,147,ART - PMTCT recorded,QChkRegPmtct,ART register - PMTCT not recorded as reason for starting
406,147,ART - TB recorded,QChkRegTb,ART register - TB status at initiation not recorded in register
408,136,ART - Visit columns complete,QChkCardColcompl,Not all columns for ART visits are completed
409,425,ARV drug register complete,QChkGenDrugreg,ARV drug register not filled (properly)
410,424,CPT register complete,QChkGenCptreg,CPT drug register is not filled (properly)
411,181,Number of outreach/mobile ART clinics,ARTLogOutr,Total number of ART outreach clinics provided by staff from this facility in the reporting period
412,182,ART initiation days,ARTLogDaysInit,Number of days per week when new ART patients are initiated
413,182,ART follow-up days,ARTLogDaysFup,Number of clinic days per week for ART follow-up visits
414,952,Males tested,HTCTestM,Total males tested
415,952,Females tested,HTCTestF,
416,415,Females non-pregnant,HTCTestFnp,Non-pregnant females tested
417,415,Females pregnant,HTCTestFp,Pregnant women tested
418,966,HIV positives referred for ART,HTCTestPosArt,Total HIV positives referred for ART clinic assessment
419,966,HIV positives referred for PMTCT,HTCTestPosPmtct,Total HIV positives referred for PMTCT services
422,1023,HTC Register,QChkHtc,Qualtiy of filling the HTC register
423,1023,TB register,QChkTb,Data quality in TB register
424,1023,CPT Register,QChkCpt,Data quality of CPT register
425,1023,ARV drug register,QChkARVdrugreg,Data quality of ARV drug register
426,131,CPT implementation started,QChkGenCptstart,Ever started implementing CPT
427,131,Mentoring visit needed,QChkGenMent,Mentoring visit urgently needed
428,422,HTC register page sums correct,QChkHtcPgsum,HTC Register page summaries incomplete and/or inaccurate
429,2,HIV labs program,Lab,CD4 counts  viral loads  DNA-PCR
430,429,Total CD4 results produced,LabCd4Output,Total CD4 results produced in the reporting period
431,2,CPT program,CptProg,Cotrimoxazole preventive therapy program. CPT patient data from different program sources (CPT register = cumulative ever registered  ART patient cards  HCC patient cards)
432,431,Cumulative CPT patients registered,CptProgPatcum,Cumulative patients ever registered in the CPT register
433,2,Fluconazole program,FlucProg,Fluconazole program (Pfizer donated fluconazole). Case data from Pfizer Fluconazole registers and possibly other data sources where registers are not available
434,433,New cryptococcal meningitis cases,FlucProgCm,New cryptococcal meningitis cases registered in the reporting period
435,433,New oesophageal candidiasis cases,FlucProgOc,New oesophageal candidiasis cases registered in the reporting period
436,793,Total women in booking cohort,ANCOutc,Outcome status of the booking cohort comprising women who had their first visit 6 months before the reporting month
437,792,Women with first visit in reporting period,ANCNew,Registration data of the women who had their first visit during the reporting month
438,437,New women registered,ANCNewTot,Total number of women registered with their first visit during the reporting month
439,791,Visits per woman,ANCOutcVis,Total number of ANC visits per woman
440,791,Trimester of first visit,ANCOutcTrim,
441,791,Pre-eclampsia,ANCOutcEcl,
442,791,TTV doses,ANCOutcTtv,
443,791,SP tablets,ANCOutcSp,
444,791,FeFo tablets,ANCOutcFefo,
445,791,Syphilis status,ANCOutcSyp,
446,791,HIV status ascertainment,ANCOutcHiv,
447,791,ART eligibility,ANCOutcArteli,
448,791,CPT status (among HIV pos),ANCOutcCpt,
449,791,PMTCT regimen mother,ANCOutcPtMoth,
450,791,Baby's ARVs dispensed,ANCOutcPtBaby,Baby's NVP or AZT syrup dispensed to the mother for take home
451,439,Women with 1 visit,ANCOutcVis1,
452,439,Women with 2 visits,ANCOutcVis2,
453,439,Women with 3 visits,ANCOutcVis3,
454,439,Women with 4 visits,ANCOutcVis4,
455,439,Women with 5+ visits,ANCOutcVis5,
456,440,Started ANC 0-12 wks,ANCOutcTrim1,
457,440,Started ANC 13+ wks,ANCOutcTrim2,
458,441,No pre-eclampsia,ANCOutcEclNo,
459,441,Pre-eclampsia,ANCOutcEclYes,
460,442,0-1 TTV doses,ANCOutcTtv0,
461,442,2+ TTV doses,ANCOutcTtv2,
462,443,0-5 SP tablets,ANCOutcSp0,
463,443,6+ SP tablets (2 x 3 tabs),ANCOutcSp6,
464,444,0-119 FeFo tablets,ANCOutcFefo0,
465,444,120+ FeFo tablets,ANCOutcFefo120,
466,803,Syphilis negative,ANCOutcSypNeg,
467,803,Syphilis positive,ANCOutcSypPos,
468,445,Not tested for syphilis,ANCOutcSypUnk,
469,796,Previous negative,ANCOutcHivPreNeg,Most recent HIV test result: documented negative from within 3 months before first ANC visit
470,796,Previous positive,ANCOutcHivPrePos,Documented postive HIV test result from any time before starting ANC
471,797,New negative,ANCOutcHivNewNeg,Most recent HIV test result: negative during ANC (this pregnancy)
472,797,New positive,ANCOutcHivNewPos,Most recent HIV test result: positive test during ANC (this pregnancy)
473,446,HIV status not ascertained,ANCOutcHivNd,HIV status not ascertained at ANC
474,801,Not eligible,ANCOutcArteliNo,HIV positive and not eligible for ART (clinical staging and/or CD4 done)
475,801,Eligible,ANCOutcArteliYes,HIV positive and eligible for ART (based on clinical staging and/or CD4 count)
476,447,Unknown,ANCOutcArteliUnk,HIV positive  ART eligibility not assessed
477,448,On CPT,ANCOutcCptYes,HIV infected and on CPT as of last ANC visit
478,448,Not on CPT,ANCOutcCptNo,HIV infected but not on CPT as of last ANC visit
479,449,No ARVs,ANCOutcPtMothNo,Mother HIV infected but not on any PMTCT regimen as of last ANC visit
480,802,ART (initiation before or during pregnancy),ANCOutcPtMothArt,Mother on ART as of last ANC visit
481,802,sdNVP,ANCOutcPtMothNvp,Mother HIV infected and on single dose nevirapine regimen as of last ANC visit
482,802,AZT,ANCOutcPtMothAzt,Mother HIV infected and on AZT combination prophylaxis as of the last ANC visit
483,450,No ARVs dispensed for infant,ANCOutcPtBabyNo,Baby's ARV prophylaxis not dispensed to the mother by the last ANC visit
484,450,ARVs dispensed for infant,ANCOutcPtBabyYes,NVP syrup dispensed to the mother for take home by the last ANC visit
485,2,Program data sets,Datset,Data element sets contained on page of the data entry forms (program reports may be split into several data sets depending on the arrangement on the paper forms)
486,485,ANC report ver2,DatsetAnc2,ANC reporting form data set
487,820,Confirmed not infected,HCCExpOutcHIVA,
488,820,Confirmed infected (ART eligible),HCCExpOutcHIVB,
489,821,HIV infection not confirmed  not ART eligible,ExpOutcHIVC,
490,821,HIV infection not confirmed  ART eligible (PSHD),HCCExpOutcHIVD,
491,77,On CPT,HCCExpOutcCPTYes,
492,77,Not on CPT,HCCExpOutcCPTNo,
493,485,Exposed child outcomes ver8,DatsetExpOutc8,Follow-up outcomes of exposed child age cohorts
494,485,HCC registration data ver8,DatsetHccreg,Registration details for HCC patients (exposed children and pre-ART patients)
495,485,pre-ART outcomes ver8,DatsetPreOutc,Pre-ART patient follow-up outcomes
496,485,ART registration data ver8,DatsetArtReg,ART patient registration details
497,485,ART outcomes (primary) ver8,DatsetArtOutcPri,ART patient follow-up outcomes by the end of the reporting period
498,485,ART outcomes (prim+sec) ver8,DatsetArtOutcAll,Primary and secondary ART patient outcomes
499,485,Clinic quality checklist ver8,DatsetChk,Quality check list
500,485,ART survival analysis,DatsetArtSurv,Group cohort survival analysis data set (total registered in cohort and primary outcomes)
501,195,ART survival 12 months (all ages),Ver8Pg1,
502,195,HCC registration data quarter,Ver8Pg2,
503,195,HCC registration data cumulative,Ver8Pg3,
504,2,Checksums,Chksum,Concept sets for sub groups that should add up to a total. Used for  validation on data entry forms. All checksums MUST be defined as follows: need 2 records as concept sets: the first record (sort weight = 0) is the reference group (left side of the equation); the second record (sort weight = 1) is the comparison group (made up of sub groups  elements to sum defined by another concept set)
505,504,ARTRegType,Chksum1,
506,504,ARTRegSex,Chksum2,
507,504,ARTRegAge,Chksum3,
508,504,ARTRegRsn,Chksum4,
509,504,ARTRegTB,Chksum5,
510,504,ARTOutc,Chksum6,
511,504,ARTOutcRegim,Chksum7,
512,504,ARTOutcTB,Chksum8,
513,504,ARTOutcDied,Chksum9,
514,504,HCCRegType,Chksum10,
515,504,HCCRegSex,Chksum11,
516,504,HCCRegAge,Chksum12,
517,504,HCCRegRsn,Chksum13,
518,504,HCCPreOutc,Chksum14,
519,504,HCCExpOutcHIV,Chksum15,
520,504,HCCExpOutcPrim,Chksum16,
521,504,ANCOutcVis,Chksum17,
522,504,ANCOutcTrim,Chksum18,
523,504,ANCOutcEcl,Chksum19,
524,504,ANCOutcTtv,Chksum20,
525,504,ANCOutcSp,Chksum21,
526,504,ANCOutcFefo,Chksum22,
527,504,ANCOutcSyp,Chksum23,
528,504,ANCOutcHiv,Chksum24,
529,504,ANCOutcArteli,Chksum25,
530,504,ANCOutcCpt,Chksum26,
531,504,ANCOutcPtMoth,Chksum27,
532,504,ANCOutcPtBaby,Chksum28,
533,195,Pre-ART outcomes cumulative,Ver8Pg4,
534,195,Exp child - 1st month - Age 2m,Ver8Pg5,
535,195,Exp child - 1st month - Age 12m,Ver8Pg6,
536,195,Exp child - 1st month - Age 24m,Ver8Pg7,
537,195,Exp child - 2nd month - Age 2m,Ver8Pg8,
538,195,Exp child - 2nd month - Age 12m,Ver8Pg9,
539,195,Exp child - 2nd month - Age 24m,Ver8Pg10,
540,195,Exp child - 3rd month - Age 2m,Ver8Pg11,
541,195,Exp child - 3rd month - Age 12m,Ver8Pg12,
542,2,Maternity program,MatProg,Maternity report data elements
543,805,HIV status ascertainment,MatHiv,
544,827,Previous negative,MatHivPrevneg,
545,827,Previous positive,MatHivPrevPos,
546,828,New negative,MatHivNewNeg,
547,828,New positive,MatHivNewPos,
548,543,HIV status not ascertained,MatHivNd,
549,832,ARV during pregnancy,MatArv,
550,549,No ARVs in pregnancy,MatArvNon,
551,837,AZT 0-3 weeks,MatArvAzt0,
552,837,AZT 4+ weeks,MatArvAzt4,
553,838,ART 0-3 weeks,MatArvArt0,Women at maternity who were on ART for 0-3 weeks during pregnancy.
554,838,ART 4+ weeks,MatArvArt4,Women at maternity who were on ART for 4+  weeks during pregnancy.
555,805,Obstetric complications,MatCxM,
556,555,No obstetric complications,MatCxMNon,
557,842,Haemorrhage (ante- or post-partum),MatCxMHaem,
558,842,Obstr / prol labour,MatCxMOpl,
559,842,(pre-) Eclampsia,MatCxMEcl,
560,842,Maternal sepsis,MatCxMSep,
561,842,Ruptured uterus,MatCxMRup,
562,842,Other obstetric complications,MatCxMOth,
563,832,Referred out before delivery,MatRef,
564,563,Not referred out,MatRefNo,
565,563,Referred out,MatRefYes,
566,805,Staff conducting delivery,MatStaf,
567,566,Category A: MO  CO  nurse/midwife  MA,MatStafA,
568,566,Category B: PA  WA  HSA,MatStafB,
569,566,Category C: Other,MatStafC,
570,805,Mother survival,MatSurv,
571,570,Mother alive,MatSurvYes,
572,570,Mother died,MatSurvNo,
573,806,Single babies / multiple deliveries,MatTwin,Header
574,843,Single babies,MatTwinNo,
575,843,Twin / multiple babies,MatTwinYes,
576,806,Delivery place,MatLoc,
577,844,This facility,MatLocHere,
578,845,In transit,MatLocTrans,
579,844,Other facility,MatLocOth,
580,845,Home / TBA,MatLocHome,
581,806,Delivery mode,MatMod,
582,581,Spontaneous vaginal,MatModSvd,
583,581,Vacuum extraction,MatModVe,
584,581,Breech,MatModBre,
585,581,Caesarean section,MatModCs,
586,806,Infant complications,MatCxIn,
587,586,No infant complications,MatCxInNon,
588,846,Prematurity,MatCxInPrem,
589,846,Weight less 2500g,MatCxInLbw,
590,846,Asphyxia,MatCxInAsp,
591,846,Sepsis,MatCxInSep,
592,846,Other newborn complication,MatCxInOth,
593,806,Infant survival,MatInf,
594,593,Total live births,MatInfAli,Calculated data element
595,593,Stillbirths,MatInfSb,Calculated data element
596,594,Neonatal deaths,MatInfNnd,
597,595,Stillbirth  fresh,MatInfSbFresh,
598,595,Stillbirth  macerated,MatInfSbMac,
599,860,Alive not HIV exposed,MatInfAliHivNo,
600,860,Alive HIV exposed,MatInfAliHivY,
601,860,Alive HIV exposure unknown,MatInfAliHivUnk,
602,600,Alive HIV exposed no ARV,MatInfAliHivYNon,
603,600,Alive HIV exposed NVP,MatInfAliHivYNvp,
604,600,Alive HIV exposed NVP+AZT,MatInfAliHivYDuo,
605,600,Alive HIV exposed AZT,MatInfAliHivYAzt,
606,806,Breastfeeding initiated,MatBf,
607,606,BF not started within 60min,MatBfNo,
608,606,BF started within 60min,MatBfYes,
609,485,Maternity report ver2,DatsetMat2,
610,832,ARV during labour,MatArvLab,
611,610,No ARVs in labour,MatArvLabNon,
612,841,sd NVP,MatArvLabNvp,
613,841,NVP + AZT + 3TC,MatArvLabTrip,
614,841,ART,MatArvLabArt,
615,396,Age 2 months,DataTypAge2m,Age 2 month birth cohort (exposed child follow-up)
616,396,Age 12 months,DataTypAge12m,Age 12 months cohort (exposed child follow-up)
617,396,Age 24 months,DataTyp24m,Age 24 months cohort (exposed child follow-up)
618,195,Exp child - 3rd month - Age 24m,Ver8Pg13,
619,195,ART registration data quarter,Ver8Pg14,
620,195,ART registration data cumulative,Ver8Pg15,
621,195,ART outcomes cumulative,Ver8Pg16,
622,195,Quality check list,Ver8Pg17,
623,195,ANC booking cohort - 1st month,Ver8Pg18,
624,195,Maternity - 1st month,Ver8Pg19,
625,195,ANC booking cohort - 2nd month,Ver8Pg20,
626,195,Maternity - 2nd month,Ver8Pg21,
627,195,ANC booking cohort  - 3rd month,Ver8Pg22,
628,195,Maternity - 3rd month,Ver8Pg23,
629,181,Regimen 5A monthly ceilings,ARTLogReg5,Maximum number of patients to be started on Regimen 5A per month as proposed by the supervision team
630,629,New initiations on Regimen 5A,ARTLogReg5Init,
631,629,Substitutions to Regimen 5A,ARTLogReg5Subs,
632,396,12 month survival all ages,DataTyp12mAll,
633,396,6 month survival all ages,DataTyp6mAll,
634,396,18 month survival all ages,DataTyp18mAll,
635,396,24 month survival all ages,DataTyp24mAll,
636,396,24 month survival children,DataTyp24mChild,
637,396,6 month survival children,DataTyp6mChild,
638,396,36 month survival all ages,DataTyp36mAll,
639,396,36 month survival children,DataTyp36mChild,
640,396,48 month survival all ages,DataTyp48mAll,
641,396,48 month survival children,DataTyp48mChild,
642,396,60 month survival all ages,DataTyp60mAll,
643,396,60 month survival children,DataTyp60mChild,
644,396,72 month survival all ages,DataTyp72mAll,
645,396,72 month survival children,DataTyp72mChild,
646,396,84 month survival all ages,DataTyp84mAll,
647,396,84 month survival children,DataTyp84mChild,
648,396,96 month survival all ages,DataTyp96mAll,
649,396,96 month survival children,DataTyp96mChild,
653,395,Sub group sets,DataTypSet,Sets of subgroups used for concept sets
654,653,Survival analysis,DataTypSetSurv,
655,653,Age cohorts (birth month),DataTypSetAge,
656,653,Checked / unchecked data,DataTypSetChk,Clinic own vs supervisor validated data
657,663,CHECK: Total women in cohort,ANCChkTot,Check sum field on data entry form for sum of women with different numbers of visits
658,663,CHECK: Total women HIV+,ANCChkHivpos,Check sum field for the total of previous positive and new positive women
659,662,CHECK: Total women,MatChkTot,Check sum field on reporting form for total  number of women (sum of HIV test result groups)
660,662,CHECK: Total HIV +,MatChkHivPos,Check sum field on reporting form for total HIV+ women (sum of previous positives and new positives)
661,662,CHECK: Total babies,MatChkBab,Check sum field on reporting form for the total number of babies (sum of single and twin babies)
662,542,Maternity report check sums,MatChk,Check sum fields on the reporting form
663,46,ANC report check sums,ANCChk,Check sum fields on the ANC reporting form
664,2,Report display elements,Rep,Elements used for definition  grouping and formatting of reports
670,97,Total died (sum of M1  2  3  4+),ARTOutcDiedM,
671,504,HCCExpOutcCPT,ChkHCCExpOutcCPT,
672,504,MatHiv,ChkMatHiv,
673,504,MatArv,ChkMatArv,
674,504,MatCxM,ChkMatCxM,
675,504,MatRef,ChkMatRef,
676,504,MatStaf,ChkMatStaf,
677,504,MatSurv,ChkMatSurv,
678,504,MatTwin,ChkMatTwin,
679,504,MatLoc,ChkMatLoc,
680,504,MatMod,ChkMatMod,
681,504,MatCxIn,ChkMatCxIn,
682,504,MatInf,ChkMatInf,
683,504,MatBf,ChkMatBf,
684,504,MatArvLab,ChkMatArvLab,
685,662,CHECK: Women delivered here,MatChkTotHere,
686,195,ART survival 12 months (children),Ver8Pg24,
687,195,ART survival 24 months (all ages),Ver8Pg25,
688,195,ART survival 36 months (all ages),Ver8Pg26,
689,195,ART survival 48 months (all ages),Ver8Pg27,
690,195,ART survival 60 months (all ages),Ver8Pg28,
691,195,ART survival 72 months (all ages),Ver8Pg29,
692,195,ART survival 84 months (all ages),Ver8Pg30,
693,195,ART survival 96 months (all ages),Ver8Pg31,
694,664,Report menu,RepProg,Report query builder menu for program reports
695,271,PMTCT site definition,FacPmtctSite,Performance-based definition of PMTCT site: required to have recorded at least 1 woman at ANC who received ARVs AND/OR at least 1 woman AND 1 baby who received ARVs at maternity
696,695,PMTCT site ANC,FacPmtctSiteAnc,
697,695,PMTCT site maternity mother,FacPmtctSiteMatM,
698,695,PMTCT site maternity baby,FacPmtctSiteMatB,
699,664,Calculated data elements,Calc,Calculated data elements and indicators. Calculation defined in concept sets
700,699,Total ANC visits by women in the cohort,CalcAncVis,
701,699,Total ANC women tested for syphilis,CalcAncSyp,
702,699,Total ANC women with valid prev HIV test,CalcAncHivPrev,
703,699,Total ANC women newly tested for HIV,CalcAncHivNew,
704,699,Total ANC women with ascertained HIV status,CalcAncHivAsc,
705,699,Total ANC women HIV positive,CalcAncHivPos,
706,699,Total ANC women HIV negative,CalcAncHivNeg,
707,699,Total ANC women assessed for ART eligibility,CalcAncArtElig,
708,699,Total ANC women receiving ARVs,CalcAncArv,
709,699,Total females registered for ART,CalcArtFem,
710,699,Total children registered for ART,CalcArtChild,
711,699,Total starting ART with confirmed HIV infection,CalcArtConf,
712,699,Total starting ART in WHO stage 1/2,CalcArtWho12,
713,699,Total starting ART with TB,CalcArtTb,
714,699,Total alive on ART (incl. patients in transfer),CalcArtAliv,
715,699,Total on first line ART,CalcArt1L,
716,699,Total on second line ART,CalcArt2L,
717,699,Total on first line ART adult formul,CalcArt1LAd,
718,699,Total on first line ART paed formul,CalcArt1LPaed,
719,699,Total on second line ART adult formul,CalcArt2LAd,
720,699,Total on second line ART paed formul,CalcArt2LPaed,
721,699,Total ART patients on CPT,CalcArtCpt,
722,699,Total pre-ART patients on CPT,CalcPreArtCpt,
723,699,Total pre-ART patients on IPT,CalcPreArtIpt,
724,699,Total patients in HIV care on CPT,CalcHivCpt,
725,699,Total pre-ART women on Depo-Provera,CalcPreArtDepo,
726,699,Total ART women on Depo-Provera,CalcArtDepo,
727,699,Total women in HIV care on Depo-Provera,CalcHivDepo,
728,197,Adult / paed formulation,SplyAttAdPed,Adult or paediatric formulation for drugs
729,728,Adult formulation drug,SplyAttAd,
730,728,Paediatric formulation drug,SplyAttPaed,
731,3,ART cohort analysis,ARTCoh,Patients with any side effects at the last visit before end of the reporting period
732,731,Registration details,ARTCohReg,
734,732,ART clinic registrations,ARTCohRegist,
735,30,Confirmed HIV infection,ARTRegRsnHiv,
736,735,WHO stage 1 or 2,ARTRegRsnWho12,
737,736,CD4 unknown or >threshold,ARTRsnCd4Unk,
738,732,Kaposi's sarcoma at ART initiation,ARTRegKs,
739,95,Primary follow-up outcomes,ARTOutcPrim,
740,105,First line regimens,ARTOutcRegim1L,
741,105,Second line regimens,ARTOutcRegim2L,
742,740,Adult formulation,ARTOutcRegim1LAd,
743,740,Paed. formulation,ARTOutcRegim1LCh,
744,741,Adult formulation,ARTOutcRegim2LAd,
745,741,Paed. Formulation,ARTOutcRegim2LCh,
746,95,ART side effects,ARTOutcSe,
747,773,No side effects,ARTOutcSeN,
748,775,TB confirmed,ARTOutcTBConf,
749,90,TB recent or current,ARTRegTBAny,
750,395,Geographical areas,DataGeo,Used for concept sets needed to select the different levels of geographical areas
751,750,Regions,DataGeoReg,
752,750,Zones,DataGeoZon,
753,750,Districts,DataGeoDist,
754,95,Functional treatment outcomes,ARTOutcFunc,
755,2,Provider initiated family planning program,Pifp,PIFP is provided in pre-ART and ART clinics. Data reported as semi-quantitative estimate among women retained in care.
756,760,HIV status ascertainment,TBRegHIV,
757,756,HIV status not ascertained,TBRegHivtestN,
758,176,HIV negative,TBRegHivNeg,Calculated data element
759,178,Not on ART when starting TB treatment,TBRegHivArtN,
760,174,TB program report,NTP,
761,760,TB clinic registrations,NTPReg,
762,174,TB / ART program triangulation,TbArt,
763,762,HIV-burden among TB patients (estimated),TbArtHiv,
764,763,HIV negative (est. 40%),TbArtHivNeg,calculated data element
765,763,HIV positive (est.  60%) in need of ART,TbArtHivPos,calculated data element
766,765,Total on ART (coverage),TbArtHivPosArtY,
767,765,Not on ART,TbArtHivPosArtN,calculated data element: (estimated HIV positives) - (already on ART from TB prog) - (ART initiations with current TB ART prog) - (ART initiations after recent TB ART prog)
768,766,Already on ART (TB prog),TbArtHivPosArtA,data element carried forward from TB report
769,766,Started ART within 24m of TB diagnosis (ART prog),TbArtHivPosArtB,Sum of calculated data elements from ART program data set (current and recent TB at ART registration adjusted for transfers ins)
770,107,Adherence recorded,ARTOutcAdhRecY,sum of subgroups
771,107,Adherence unknown (not recorded),ARTOutcAdhRecN,Calculated data element. Entered data element from version 8.3 Jan 2013
772,746,Side effects unknown (not recorded),ARTOutcSeRecN,Calculated data element. Entered data element from version 8.3 Jan 2013
773,746,Side effects recorded,ARTOutcSeRecY,Sum of sub groups
774,108,ICF not done (Current TB status unknown/ not circ),ARTOutcICFN,calculated data element. Entered data element from version 8.3 (Jan 2013)
775,108,ICF done,ARTOutcICFY,sum of sub groups
776,739,Total alive on ART,ARTOutcAliveTot,sum of sub groups
777,776,ART patients in transit between sites,ARTOutcAliveTr,Calculated data element
778,738,No KS,ARTRegKsN,Calculated data element
779,750,Nation,DataGeoNat,Concept set
780,395,Report period set,CohPerSet,
781,780,Quarter / cumulative,CohPerSetQuCu,
782,780,Monthly,CohPerSetMonth,
783,694,ART cohort analysis,RepProgArtCoh,
784,694,HIV exposed child follow-up,RepProgExp,
785,694,ART survival analysis,RepProgArtSurv,
786,694,Antenatal Care,RepProgAnc,
787,694,Labour and delivery,RepProgMat,
788,694,HIV Care Clinic (HCC) cohort analysis,RepProgPreArt,
789,664,Program data sets,RepProgSet,Concept sets for multi-level program reports (needed for combo-box on report query builder)
790,46,ANC services report,ANCProgRep,
791,790,ANC cohort analysis,ANCProgRepCoh,
792,790,New ANC registrations in reporting period,ANCProgRepNew,
793,791,Total women completing ANC in the reporting period,ANCProgRepCohTot,
795,446,HIV status ascertained,ANCOutcHivAsc,
796,795,Valid previous test result,ANCOutcHivAscPre,
797,795,New test at ANC,ANCOutcHivNew,
798,791,HIV status summary,ANCOutcHivSum,
799,798,Total women HIV negative,ANCOutcHivSumNeg,
800,798,Total women HIV positive,ANCOutcHivSumPos,
801,447,ART eligibility determined,ANCOutcArteliY,
802,449,Any ARVs,ANCOutcPtMothY,
803,445,Tested for syphilis,ANCOutcSypDone,
804,542,Maternity services report (labour and delivery),MatProgRep,
805,804,Maternal details,MatProgRepMum,
806,804,Infant details,MatProgRepBab,
807,769,ART initiations with current TB (ART prog),TbArtHivPosArtB1,Calculated dataelement: current TB at ART initiation (adjusted for transfers)
808,769,ART initiations after recent TB (ART prog),TbArtHivPosArtC,Calculated dataelement (recent TB at initiation adjusted for transfers)
809,694,TB/HIV program,RepProgTbHiv,
810,95,Transfers between sites,ARTOutcTransf,
811,810,Total not transferred out,ARTOutcTransFN,calculated data element: total registrations - transfers out
812,3,ART survival analysis,ARTProgSurv,This concept branch is used for generic report routine only. All data elements are calculated or refer to ART cohort  data elements directly (these generic data elements are also used to store the survival analysis data elements)
813,812,Survival and retention in ART program,ARTProgSurvGp,
814,813,ART cohort registration group outcomes,ARTProgSurvGpSur,Section header in report
815,1003,Total alive on ART,ARTProgSurvAl,Calculated data element (reference to total alive on ART)
816,1003,Total not retained,ARTProgSurvDrop,
817,816,Defaulted,ARTProgSurvDef,Calculated data element (refer to primary DE: Defaulted)
818,816,Stopped ART,ARTProgSurvStop,Calculated data element: refer to ART cohort Stopped ART
819,816,Died,ARTProgSurvDied,Calculated data element: refer to ART cohort Total died
820,76,Current HIV infection status known,ExpOutcHIVtst,
821,76,Current HIV infection status unknown,ExpOutcHIVtstN,Calculated data element
822,805,Admissions in the reporting period,MatAdm,Header for calculated data elements
823,822,Total admissions (referrals double-counted),MatAdmTot,
824,823,Not referred to other site (total women),MatAdmWom,Calculated data element
