3 MONTHS REVIEW HIV,3,HIV,HIV
FP 0 IMPLANTS  JADELLE  REMOVAL,FP,FP,HIV
FP 0 INJECTABLE DEPOPROVERA,FP,FP,HIV
FP 0 INTERVAL,FP,FP,HIV
FP 0 IUCD,FP,FP,HIV
FP 0 JADELLE NORPLAT,FP,FP,HIV
FP 0 LAM,FP,FP,HIV
FP 0 MALE CONDOM,FP,FP,HIV
FP 0 MALE CONDOM BACK UP,FP,FP,HIV
FP 0 NATURAL METHODS,FP,FP,HIV
FP 0 POST PARTUM,FP,FP,HIV
FP 0 PROGESTRIN ONLY,FP,FP,HIV
FP 0 TUBAL LIGATION,FP,FP,HIV
FP 0 VASECTOMY,FP,FP,HIV
FP 1 CEASARIAN SECTION,FP,FP,HIV
FP 1 COMBINED ORAL,FP,FP,HIV
FP 1 EMERGENCY CONTRACEPTIVES,FP,FP,HIV
FP 1 FEMALE CONDOM,FP,FP,HIV
FP 1 FEMALE CONDOM BACK UP,FP,FP,HIV
FP 1 IMPLANTS  IMPLANON  INSERTION,FP,FP,HIV
FP 1 IMPLANTS  IMPLANON  REMOVAL,FP,FP,HIV
FP 1 IMPLANTS  JADELLE  INSERTION,FP,FP,HIV
FP 1 IMPLANTS  JADELLE  REMOVAL,FP,FP,HIV
FP 1 INJECTABLE DEPOPROVERA,FP,FP,HIV
FP 1 INTERVAL,FP,FP,HIV
FP 1 IUCD,FP,FP,HIV
FP 1 JADELLE NORPLAT,FP,FP,HIV
FP 1 LAM,FP,FP,HIV
FP 1 MALE CONDOM,FP,FP,HIV
FP 1 MALE CONDOM BACK UP,FP,FP,HIV
FP 1 NATURAL METHODS,FP,FP,HIV
FP 1 POST PARTUM,FP,FP,HIV
FP 1 PROGESTRIN ONLY,FP,FP,HIV
FP 1 TUBAL LIGATION,FP,FP,HIV
FP 1 VASECTOMY,FP,FP,HIV
FP 20 24 CEASARIAN SECTION,FP,FP,HIV
FP 20 24 COMBINED ORAL,FP,FP,HIV
FP 20 24 EMERGENCY CONTRACEPTIVES,FP,FP,HIV
FP 20 24 FEMALE CONDOM,FP,FP,HIV
FP 20 24 FEMALE CONDOM BACKUP,FP,FP,HIV
FP 20 24 IMPLANTS  IMPLANON  INSERTION,FP,FP,HIV
FP 20 24 IMPLANTS  IMPLANON  REMOVAL,FP,FP,HIV
FP 20 24 IMPLANTS  JADELLE  INSERTION,FP,FP,HIV
FP 20 24 IMPLANTS  JADELLE  REMOVAL,FP,FP,HIV
FP 20 24 INJECTABLE DEPOPROVERA,FP,FP,HIV
FP 20 24 INTERVAL,FP,FP,HIV
FP 20 24 IUCD INSERTION,FP,FP,HIV
FP 20 24 IUCD REMOVAL,FP,FP,HIV
FP 20 24 JADELLE INSERTION,FP,FP,HIV
FP 20 24 JADELLE REMOVAL,FP,FP,HIV
FP 20 24 LAM,FP,FP,HIV
FP 20 24 MALE CONDOM,FP,FP,HIV
FP 20 24 MALE CONDOM BACK UP,FP,FP,HIV
FP 20 24 NATURAL METHODS,FP,FP,HIV
FP 20 24 POST PARTUM,FP,FP,HIV
FP 20 24 PROGESTRIN ONLY,FP,FP,HIV
FP 20 24 TUBAL LIGATION,FP,FP,HIV
FP 20 24 VASECTOMY,FP,FP,HIV
FP 25 29 CEASARIAN SECTION,FP,FP,HIV
FP 25 29 COMBINED ORAL,FP,FP,HIV
FP 25 29 EMERGENCY CONTRACEPTIVES,FP,FP,HIV
FP 25 29 FEMALE CONDOM,FP,FP,HIV
FP 25 29 FEMALE CONDOM BACKUP,FP,FP,HIV
FP 25 29 IMPLANTS  IMPLANON  INSERTION,FP,FP,HIV
FP 25 29 IMPLANTS  IMPLANON  REMOVAL,FP,FP,HIV
FP 25 29 IMPLANTS  JADELLE  INSERTION,FP,FP,HIV
FP 25 29 IMPLANTS  JADELLE  REMOVAL,FP,FP,HIV
FP 25 29 INJECTABLE DEPOPROVERA,FP,FP,HIV
FP 25 29 INTERVAL,FP,FP,HIV
FP 25 29 IUCD INSERTION,FP,FP,HIV
FP 25 29 IUCD REMOVAL,FP,FP,HIV
FP 25 29 JADELLE INSERTION,FP,FP,HIV
FP 25 29 JADELLE REMOVALS,FP,FP,HIV
FP 25 29 LAM,FP,FP,HIV
FP 25 29 MALE CONDOM,FP,FP,HIV
FP 25 29 MALE CONDOM BACK UP,FP,FP,HIV
FP 25 29 NATURAL METHODS,FP,FP,HIV
FP 25 29 POST PARTUM,FP,FP,HIV
FP 25 29 PROGESTRIN ONLY,FP,FP,HIV
FP 25 29 TUBAL LIGATION,FP,FP,HIV
FP 25 29 VASECTOMY,FP,FP,HIV
FP 2 CEASARIAN SECTION,FP,FP,HIV
FP 2 COMBINED ORAL,FP,FP,HIV
FP 2 EMERGENCY CONTRACEPTIVES,FP,FP,HIV
FP 2 FEMALE CONDOM,FP,FP,HIV
FP 2 FEMALE CONDOM BACK UP,FP,FP,HIV
FP 2 IMPLANTS  IMPLANON  INSERTION,FP,FP,HIV
FP 2 IMPLANTS  IMPLANON  REMOVAL,FP,FP,HIV
FP 2 IMPLANTS  JADELLE  INSERTION,FP,FP,HIV
FP 2 IMPLANTS  JADELLE  REMOVAL,FP,FP,HIV
FP 2 INJECTABLE DEPOPROVERA,FP,FP,HIV
FP 2 INTERVAL,FP,FP,HIV
FP 2 IUCD,FP,FP,HIV
FP 2 JADELLE NORPLAT,FP,FP,HIV
FP 2 LAM,FP,FP,HIV
FP 2 MALE CONDOM,FP,FP,HIV
FP 2 MALE CONDOM BACK UP,FP,FP,HIV
FP 2 NATURAL METHODS,FP,FP,HIV
FP 2 POST PARTUM,FP,FP,HIV
FP 2 PROGESTRIN ONLY,FP,FP,HIV
FP 2 TUBAL LIGATION,FP,FP,HIV
FP 2 VASECTOMY,FP,FP,HIV
FP 30 34 CEASARIAN SECTION,FP,FP,HIV
FP 30 34 COMBINED ORAL,FP,FP,HIV
FP 30 34 EMERGENCY CONTRACEPTIVES,FP,FP,HIV
FP 30 34 FEMALE CONDOM,FP,FP,HIV
FP 30 34 FEMALE CONDOM BACKUP,FP,FP,HIV
FP 30 34 IMPLANTS  IMPLANON  INSERTION,FP,FP,HIV
FP 30 34 IMPLANTS  IMPLANON  REMOVAL,FP,FP,HIV
FP 30 34 IMPLANTS  JADELLE  INSERTION,FP,FP,HIV
FP 30 34 IMPLANTS  JADELLE  REMOVAL,FP,FP,HIV
FP 30 34 INJECTABLE DEPOPROVERA,FP,FP,HIV
FP 30 34 INTERVAL,FP,FP,HIV
FP 30 34 IUCD INSERTION,FP,FP,HIV
FP 30 34 IUCD REMOVAL,FP,FP,HIV
FP 30 34 JADELLE INSERTION,FP,FP,HIV
FP 30 34 JADELLE REMOVALS,FP,FP,HIV
FP 30 34 LAM,FP,FP,HIV
FP 30 34 MALE CONDOM,FP,FP,HIV
FP 30 34 MALE CONDOM BACK UP,FP,FP,HIV
FP 30 34 NATURAL METHODS,FP,FP,HIV
FP 30 34 POST PARTUM,FP,FP,HIV
FP 30 34 PROGESTRIN ONLY,FP,FP,HIV
FP 30 34 TUBAL LIGATION,FP,FP,HIV
FP 30 34 VASECTOMY,FP,FP,HIV
FP 35 39 CEASARIAN SECTION,FP,FP,HIV
FP 35 39 COMBINED ORAL,FP,FP,HIV
FP 35 39 EMERGENCY CONTRACEPTIVES,FP,FP,HIV
FP 35 39 FEMALE CONDOM,FP,FP,HIV
FP 35 39 FEMALE CONDOM BACKUP,FP,FP,HIV
FP 35 39 IMPLANTS  IMPLANON  INSERTION,FP,FP,HIV
FP 35 39 IMPLANTS  IMPLANON  REMOVAL,FP,FP,HIV
FP 35 39 IMPLANTS  JADELLE  INSERTION,FP,FP,HIV
FP 35 39 IMPLANTS  JADELLE  REMOVAL,FP,FP,HIV
FP 35 39 INJECTABLE DEPOPROVERA,FP,FP,HIV
FP 35 39 INTERVAL,FP,FP,HIV
FP 35 39 IUCD INSERTION,FP,FP,HIV
FP 35 39 IUCD REMOVAL,FP,FP,HIV
FP 35 39 JADELLE INSERTION,FP,FP,HIV
FP 35 39 JADELLE REMOVALS,FP,FP,HIV
FP 35 39 LAM,FP,FP,HIV
FP 35 39 MALE CONDOM,FP,FP,HIV
FP 35 39 MALE CONDOM BACK UP,FP,FP,HIV
FP 35 39 NATURAL METHODS,FP,FP,HIV
FP 35 39 POST PARTUM,FP,FP,HIV
FP 35 39 PROGESTRIN ONLY,FP,FP,HIV
FP 35 39 TUBAL LIGATION,FP,FP,HIV
FP 35 39 VASECTOMY,FP,FP,HIV
FP 3 CEASARIAN SECTION,FP,FP,HIV
FP 3 COMBINED ORAL,FP,FP,HIV
FP 3 EMERGENCY CONTRACEPTIVES,FP,FP,HIV
FP 3 FEMALE CONDOM,FP,FP,HIV
FP 3 FEMALE CONDOM BACK UP,FP,FP,HIV
FP 3 IMPLANTS  IMPLANON  INSERTION,FP,FP,HIV
FP 3 IMPLANTS  IMPLANON  REMOVAL,FP,FP,HIV
FP 3 IMPLANTS  JADELLE  INSERTION,FP,FP,HIV
FP 3 IMPLANTS  JADELLE  REMOVAL,FP,FP,HIV
FP 3 INJECTABLE DEPOPROVERA,FP,FP,HIV
FP 3 INTERVAL,FP,FP,HIV
FP 3 IUCD,FP,FP,HIV
FP 3 JADELLE NORPLAT,FP,FP,HIV
FP 3 LAM,FP,FP,HIV
FP 3 MALE CONDOM,FP,FP,HIV
FP 3 MALE CONDOM BACK UP,FP,FP,HIV
FP 3 NATURAL METHODS,FP,FP,HIV
FP 3 POST PARTUM,FP,FP,HIV
FP 3 PROGESTRIN ONLY,FP,FP,HIV
FP 3 TUBAL LIGATION,FP,FP,HIV
FP 3 VASECTOMY,FP,FP,HIV
FP 40 44 CEASARIAN SECTION,FP,FP,HIV
FP 40 44 COMBINED ORAL,FP,FP,HIV
FP 40 44 EMERGENCY CONTRACEPTIVES,FP,FP,HIV
FP 40 44 FEMALE CONDOM,FP,FP,HIV
FP 40 44 FEMALE CONDOM BACKUP,FP,FP,HIV
FP 40 44 IMPLANTS  IMPLANON  INSERTION,FP,FP,HIV
FP 40 44 IMPLANTS  IMPLANON  REMOVAL,FP,FP,HIV
FP 40 44 IMPLANTS  JADELLE  INSERTION,FP,FP,HIV
FP 40 44 IMPLANTS  JADELLE  REMOVAL,FP,FP,HIV
FP 40 44 INJECTABLE DEPOPROVERA,FP,FP,HIV
FP 40 44 INTERVAL,FP,FP,HIV
FP 40 44 IUCD INSERTION,FP,FP,HIV
FP 40 44 IUCD REMOVAL,FP,FP,HIV
FP 40 44 JADELLE INSERTION,FP,FP,HIV
FP 40 44 JADELLE REMOVALS,FP,FP,HIV
FP 40 44 LAM,FP,FP,HIV
FP 40 44 MALE CONDOM,FP,FP,HIV
FP 40 44 MALE CONDOM BACK UP,FP,FP,HIV
FP 40 44 NATURAL METHODS,FP,FP,HIV
FP 40 44 POST PARTUM,FP,FP,HIV
FP 40 44 PROGESTRIN ONLY,FP,FP,HIV
FP 40 44 TUBAL LIGATION,FP,FP,HIV
FP 40 44 VASECTOMY,FP,FP,HIV
FP 45 48 CEASARIAN SECTION,FP,FP,HIV
FP 45 48 COMBINED ORAL,FP,FP,HIV
FP 45 48 EMERGENCY CONTRACEPTIVES,FP,FP,HIV
FP 45 48 FEMALE CONDOM,FP,FP,HIV
FP 45 48 FEMALE CONDOM BACKUP,FP,FP,HIV
FP 45 48 IMPLANTS  IMPLANON  INSERTION,FP,FP,HIV
FP 45 48 IMPLANTS  IMPLANON  REMOVAL,FP,FP,HIV
FP 45 48 IMPLANTS  JADELLE  INSERTION,FP,FP,HIV
FP 45 48 IMPLANTS  JADELLE NORPLANT  INSERTION,FP,FP,HIV
FP 45 48 IMPLANTS  JADELLE NORPLANT  REMOVAL,FP,FP,HIV
FP 45 48 IMPLANTS  JADELLE  REMOVAL,FP,FP,HIV
FP 45 48 INJECTABLE DEPOPROVERA,FP,FP,HIV
FP 45 48 INTERVAL,FP,FP,HIV
FP 45 48 IUCD INSERTION,FP,FP,HIV
FP 45 48 IUCD REMOVAL,FP,FP,HIV
FP 45 48 LAM,FP,FP,HIV
FP 45 48 MALE CONDOM,FP,FP,HIV
FP 45 48 MALE CONDOM BACK UP,FP,FP,HIV
FP 45 48 NATURAL METHODS,FP,FP,HIV
FP 45 48 POST PARTUM,FP,FP,HIV
FP 45 48 PROGESTRIN ONLY,FP,FP,HIV
FP 45 48 TUBAL LIGATION,FP,FP,HIV
FP 45 48 VASECTOMY,FP,FP,HIV
FP 49 + CEASARIAN SECTION,FP,FP,HIV
FP 49 + COMBINED ORAL,FP,FP,HIV
FP 49 + EMERGENCY CONTRACEPTIVES,FP,FP,HIV
FP 49 + FEMALE CONDOM,FP,FP,HIV
FP 49 + FEMALE CONDOM BACKUP,FP,FP,HIV
FP 49  +  IMPLANTS  IMPLANON  INSERTION,FP,FP,HIV
FP 49  +  IMPLANTS  IMPLANON  REMOVAL,FP,FP,HIV
FP 49  +  IMPLANTS  JADELLE  INSERTION,FP,FP,HIV
FP 49  +  IMPLANTS  JADELLE  REMOVAL,FP,FP,HIV
FP 49 + INJECTABLE DEPOPROVERA,FP,FP,HIV
FP 49 + INTERVAL,FP,FP,HIV
FP 49 + IUCD INSERTION,FP,FP,HIV
FP 49 + IUCD REMOVAL,FP,FP,HIV
FP 49 + JADELLE INSERTION,FP,FP,HIV
FP 49 + JADELLE REMOVALS,FP,FP,HIV
FP 49 + LAM,FP,FP,HIV
FP 49 + MALE CONDOM,FP,FP,HIV
FP 49 + MALE CONDOM BACK UP,FP,FP,HIV
FP 49 + NATURAL METHODS,FP,FP,HIV
FP 49 + POST PARTUM,FP,FP,HIV
FP 49 + PROGESTRIN ONLY,FP,FP,HIV
FP 49 + TUBAL LIGATION,FP,FP,HIV
FP 49 + VASECTOMY,FP,FP,HIV
FP 4 CEASARIAN SECTION,FP,FP,HIV
FP 4 COMBINED ORAL,FP,FP,HIV
FP 4 EMERGENCY CONTRACEPTIVES,FP,FP,HIV
FP 4 FEMALE CONDOM,FP,FP,HIV
FP 4 FEMALE CONDOM BACK UP,FP,FP,HIV
FP 4 IMPLANTS  IMPLANON  INSERTION,FP,FP,HIV
FP 4 IMPLANTS  IMPLANON  REMOVAL,FP,FP,HIV
FP 4 IMPLANTS  JADELLE  INSERTION,FP,FP,HIV
FP 4 IMPLANTS  JADELLE  REMOVAL,FP,FP,HIV
FP 4 INJECTABLE DEPOPROVERA,FP,FP,HIV
FP 4 INTERVAL,FP,FP,HIV
FP 4 IUCD,FP,FP,HIV
FP 4 JADELLE NORPLAT,FP,FP,HIV
FP 4 LAM,FP,FP,HIV
FP 4 MALE CONDOM,FP,FP,HIV
FP 4 MALE CONDOM BACK UP,FP,FP,HIV
FP 4 NATURAL METHODS,FP,FP,HIV
FP 4 POST PARTUM,FP,FP,HIV
FP 4 PROGESTRIN ONLY,FP,FP,HIV
FP 4 TUBAL LIGATION,FP,FP,HIV
FP 4 VASECTOMY,FP,FP,HIV
FP 5 CEASARIAN SECTION,FP,FP,HIV
FP 5 COMBINED ORAL,FP,FP,HIV
FP 5 EMERGENCY CONTRACEPTIVES,FP,FP,HIV
FP 5 FEMALE CONDOM,FP,FP,HIV
FP 5 FEMALE CONDOM BACK UP,FP,FP,HIV
FP 5 IMPLANTS  IMPLANON  INSERTION,FP,FP,HIV
FP 5 IMPLANTS  IMPLANON  REMOVAL,FP,FP,HIV
FP 5 IMPLANTS  JADELLE  INSERTION,FP,FP,HIV
FP 5 IMPLANTS  JADELLE  REMOVAL,FP,FP,HIV
FP 5 INJECTABLE DEPOPROVERA,FP,FP,HIV
FP 5 INTERVAL,FP,FP,HIV
FP 5 IUCD,FP,FP,HIV
FP 5 JADELLE NORPLAT,FP,FP,HIV
FP 5 LAM,FP,FP,HIV
FP 5 MALE CONDOM,FP,FP,HIV
FP 5 MALE CONDOM BACK UP,FP,FP,HIV
FP 5 NATURAL METHODS,FP,FP,HIV
FP 5 POST PARTUM,FP,FP,HIV
FP 5 PROGESTRIN ONLY,FP,FP,HIV
FP 5 TUBAL LIGATION,FP,FP,HIV
FP 5 VASECTOMY,FP,FP,HIV
FP 6 CEASARIAN SECTION,FP,FP,HIV
FP 6 COMBINED ORAL,FP,FP,HIV
FP 6 EMERGENCY CONTRACEPTIVES,FP,FP,HIV
FP 6 FEMALE CONDOM,FP,FP,HIV
FP 6 FEMALE CONDOM BACK UP,FP,FP,HIV
FP 6 IMPLANTS  IMPLANON  INSERTION,FP,FP,HIV
FP 6 IMPLANTS  IMPLANON  REMOVAL,FP,FP,HIV
FP 6 IMPLANTS  JADELLE  INSERTION,FP,FP,HIV
FP 6 IMPLANTS  JADELLE  REMOVAL,FP,FP,HIV
FP 6 INJECTABLE DEPOPROVERA,FP,FP,HIV
FP 6 INTERVAL,FP,FP,HIV
FP 6 IUCD,FP,FP,HIV
FP 6 JADELLE NORPLAT,FP,FP,HIV
FP 6 LAM,FP,FP,HIV
FP 6 MALE CONDOM,FP,FP,HIV
FP 6 MALE CONDOM BACK UP,FP,FP,HIV
FP 6 NATURAL METHODS,FP,FP,HIV
FP 6 POST PARTUM,FP,FP,HIV
FP 6 PROGESTRIN ONLY,FP,FP,HIV
FP 6 TUBAL LIGATION,FP,FP,HIV
FP 6 VASECTOMY,FP,FP,HIV
FP 7 CEASARIAN SECTION,FP,FP,HIV
FP 7 COMBINED ORAL,FP,FP,HIV
FP 7 EMERGENCY CONTRACEPTIVES,FP,FP,HIV
FP 7 FEMALE CONDOM,FP,FP,HIV
FP 7 FEMALE CONDOM BACK UP,FP,FP,HIV
FP 7 IMPLANTS  IMPLANON  INSERTION,FP,FP,HIV
FP 7 IMPLANTS  IMPLANON  REMOVAL,FP,FP,HIV
FP 7 IMPLANTS  JADELLE  INSERTION,FP,FP,HIV
FP 7 IMPLANTS  JADELLE  REMOVAL,FP,FP,HIV
FP 7 INJECTABLE DEPOPROVERA,FP,FP,HIV
FP 7 INTERVAL,FP,FP,HIV
FP 7 IUCD,FP,FP,HIV
FP 7 JADELLE NORPLAT,FP,FP,HIV
FP 7 LAM,FP,FP,HIV
FP 7 MALE CONDOM,FP,FP,HIV
FP 7 MALE CONDOM BACK UP,FP,FP,HIV
FP 7 NATURAL METHODS,FP,FP,HIV
FP 7 POST PARTUM,FP,FP,HIV
FP 7 PROGESTRIN ONLY,FP,FP,HIV
FP 7 TUBAL LIGATION,FP,FP,HIV
FP 7 VASECTOMY,FP,FP,HIV
FP 8 CEASARIAN SECTION,FP,FP,HIV
FP 8 COMBINED ORAL,FP,FP,HIV
FP 8 EMERGENCY CONTRACEPTIVES,FP,FP,HIV
FP 8 FEMALE CONDOM,FP,FP,HIV
FP 8 FEMALE CONDOM BACK UP,FP,FP,HIV
FP 8 IMPLANTS  IMPLANON  INSERTION,FP,FP,HIV
FP 8 IMPLANTS  IMPLANON  REMOVAL,FP,FP,HIV
FP 8 IMPLANTS  JADELLE  INSERTION,FP,FP,HIV
FP 8 IMPLANTS  JADELLE  REMOVAL,FP,FP,HIV
FP 8 INJECTABLE DEPOPROVERA,FP,FP,HIV
FP 8 INTERVAL,FP,FP,HIV
FP 8 IUCD,FP,FP,HIV
FP 8 JADELLE NORPLAT,FP,FP,HIV
FP 8 LAM,FP,FP,HIV
FP 8 MALE CONDOM,FP,FP,HIV
FP 8 MALE CONDOM BACK UP,FP,FP,HIV
FP 8 NATURAL METHODS,FP,FP,HIV
FP 8 POST PARTUM,FP,FP,HIV
FP 8 PROGESTRIN ONLY,FP,FP,HIV
FP 8 TUBAL LIGATION,FP,FP,HIV
FP 8 VASECTOMY,FP,FP,HIV
FP +9 CEASARIAN SECTION,FP,FP,HIV
FP 9+ CEASARIAN SECTION,FP,FP,HIV
FP 9+ COMBINED ORAL,FP,FP,HIV
FP 9+ EMERGENCY CONTRACEPTIVES,FP,FP,HIV
FP 9+ FEMALE CONDOM,FP,FP,HIV
FP 9 FEMALE CONDOM BACK UP,FP,FP,HIV
FP 9 IMPLANTS  IMPLANON  INSERTION,FP,FP,HIV
FP 9 IMPLANTS  IMPLANON  REMOVAL,FP,FP,HIV
FP 9 IMPLANTS  JADELLE  INSERTION,FP,FP,HIV
FP 9 IMPLANTS  JADELLE  REMOVAL,FP,FP,HIV
FP 9+ INJECTABLE DEPOPROVERA,FP,FP,HIV
FP 9+ INTERVAL,FP,FP,HIV
FP 9+ IUCD,FP,FP,HIV
FP 9+ JADELLE NORPLAT,FP,FP,HIV
FP 9+ LAM,FP,FP,HIV
FP +9 MALE CONDOM,FP,FP,HIV
FP 9+ MALE CONDOM,FP,FP,HIV
FP 9 MALE CONDOM BACK UP,FP,FP,HIV
FP 9+ NATURAL METHODS,FP,FP,HIV
FP 9+ POST PARTUM,FP,FP,HIV
FP 9+ PROGESTRIN ONLY,FP,FP,HIV
FP 9+ TUBAL LIGATION,FP,FP,HIV
FP 9+ VASECTOMY,FP,FP,HIV
FP ABNORMAL BLEEDING,FP,FP,HIV
FP CEASARIAN SECTION TOTAL UNITS CYCLES,FP,FP,HIV
FP CHANGING TO NEW METHODS,FP,FP,HIV
FP CLIENTS CHANGING METHOD,FP,FP,HIV
FP CLIENTS COUNSELED NEW,FP,FP,HIV
FP CLIENTS COUNSELED OLD,FP,FP,HIV
FP COMBINED ORAL TOTAL UNITS CYCLES,FP,FP,HIV
FP CYCLE BEADS,FP,FP,HIV
FP DEPOPROVERA [DMAPA],FP,FP,HIV
FP DISCONTINUING COMBINED ORAL,FP,FP,HIV
FP DISCONTINUING FEMALE CONDOM,FP,FP,HIV
FP DISCONTINUING FEMALE CONDOM BACKUP,FP,FP,HIV
FP DISCONTINUING IMPLANTS  IMPLANON  INSERTION,FP,FP,HIV
FP DISCONTINUING IMPLANTS  IMPLANON  REMOVAL,FP,FP,HIV
FP DISCONTINUING IMPLANTS  JADELLE  INSERTION,FP,FP,HIV
FP DISCONTINUING IMPLANTS  JADELLE  REMOVAL,FP,FP,HIV
FP DISCONTINUING INJECTABLE DEPOPROVERA,FP,FP,HIV
FP DISCONTINUING IUCD INSERTION,FP,FP,HIV
FP DISCONTINUING IUCD REMOVAL,FP,FP,HIV
FP DISCONTINUING JADELLE INSERTION,FP,FP,HIV
FP DISCONTINUING JADELLE REMOVAL,FP,FP,HIV
FP DISCONTINUING MALE CONDOM,FP,FP,HIV
FP DISCONTINUING MALE CONDOM BACKUP,FP,FP,HIV
FP DISCONTINUING NATURAL METHODS,FP,FP,HIV
FP DISCONTINUING PROGESTRIN ONLY,FP,FP,HIV
FP DISCONTINUING TUBAL LIGATION,FP,FP,HIV
FP EMERGENCY CONTRACEPTIVES TOTAL UNITS CYCLES,FP,FP,HIV
FP F CONDOMS,FP,FP,HIV
FP F CONDOMS NON,FP,FP,HIV
FP FEMALE CONDOM BACK UP TOTAL UNITS CYCLES,FP,FP,HIV
FP FEMALE CONDOM TOTAL UNITS CYCLES,FP,FP,HIV
FP FP IMPLANTS  JADELLE  INSERTION TOTAL UNITS CYCLES,FP,FP,HIV
FP HIGH BLOOD PRESSURE,FP,FP,HIV
FP IMPLANTS,FP,FP,HIV
FP IMPLANTS  IMPLANON  INSERTION TOTAL UNITS CYCLES,FP,FP,HIV
FP IMPLANTS  IMPLANON  REMOVAL TOTAL UNITS CYCLES,FP,FP,HIV
FP IMPLANTS  JADELLE  REMOVAL TOTAL UNITS CYCLES,FP,FP,HIV
FP INJECTABLE DEPOPROVERA TOTAL UNITS CYCLES,FP,FP,HIV
FP INTERVAL TOTAL UNITS CYCLES,FP,FP,HIV
FP IUCD,FP,FP,HIV
FP IUCD INSERTION TOTAL UNITS CYCLES,FP,FP,HIV
FP IUCD REMOVAL TOTAL UNITS CYCLES,FP,FP,HIV
FP LAM TOTAL UNITS CYCLES,FP,FP,HIV
FP LESS THAN 20 CEASARIAN SECTION,FP,FP,HIV
FP LESS THAN 20 COMBINED ORAL,FP,FP,HIV
FP LESS THAN 20 EMERGENCY CONTRACEPTIVES,FP,FP,HIV
FP LESS THAN 20 FEMALE CONDOM,FP,FP,HIV
FP LESS THAN 20 FEMALE CONDOM BACKUP,FP,FP,HIV
FP LESS THAN 20 IMPLANTS  IMPLANON  INSERTION,FP,FP,HIV
FP LESS THAN 20 IMPLANTS  IMPLANON  REMOVAL,FP,FP,HIV
FP LESS THAN 20 IMPLANTS  JADELLE  INSERTION,FP,FP,HIV
FP LESS THAN 20 IMPLANTS  JADELLE  REMOVAL,FP,FP,HIV
FP LESS THAN 20 INJECTABLE DEPOPROVERA,FP,FP,HIV
FP LESS THAN 20 INTERVAL,FP,FP,HIV
FP LESS THAN 20 IUCD INSERTION,FP,FP,HIV
FP LESS THAN 20 IUCD REMOVAL,FP,FP,HIV
FP LESS THAN 20 JADELLE INSERTION,FP,FP,HIV
FP LESS THAN 20 JADELLE REMOVAL,FP,FP,HIV
FP LESS THAN 20 LAM,FP,FP,HIV
FP LESS THAN 20 MALE CONDOM,FP,FP,HIV
FP LESS THAN 20 MALE CONDOM BACK UP,FP,FP,HIV
FP LESS THAN 20 NATURAL METHODS,FP,FP,HIV
FP LESS THAN 20 POST PARTUM,FP,FP,HIV
FP LESS THAN 20 PROGESTRIN ONLY,FP,FP,HIV
FP LESS THAN 20 TUBAL LIGATION,FP,FP,HIV
FP LESS THAN 20 VASECTOMY,FP,FP,HIV
FP MALE CONDOM BACK UP TOTAL UNITS CYCLES,FP,FP,HIV
FP MALE CONDOM TOTAL UNITS CYCLES,FP,FP,HIV
FP M CONDOMS,FP,FP,HIV
FP M CONDOMS NON,FP,FP,HIV
FP MICROGYNON,FP,FP,HIV
FP NATURAL METHODS TOTAL UNITS CYCLES,FP,FP,HIV
FP NEW CLIENTS CEASARIAN SECTION,FP,FP,HIV
FP NEW CLIENTS COMBINED ORAL,FP,FP,HIV
FP NEW CLIENTS EMERGENCY CONTRACEPTIVES,FP,FP,HIV
FP NEW CLIENTS FEMALE CONDOM,FP,FP,HIV
FP NEW CLIENTS FEMALE CONDOM BACKUP,FP,FP,HIV
FP NEW CLIENTS IMPLANTS  IMPLANON  INSERTION,FP,FP,HIV
FP NEW CLIENTS IMPLANTS  IMPLANON  REMOVAL,FP,FP,HIV
FP NEW CLIENTS IMPLANTS  JADELLE  INSERTION,FP,FP,HIV
FP NEW CLIENTS IMPLANTS  JADELLE  REMOVAL,FP,FP,HIV
FP NEW CLIENTS INJECTABLE DEPOPROVERA,FP,FP,HIV
FP NEW CLIENTS INTERVAL,FP,FP,HIV
FP NEW CLIENTS IUCD INSERTION,FP,FP,HIV
FP NEW CLIENTS IUCD REMOVAL,FP,FP,HIV
FP NEW CLIENTS JADELLE INSERTION,FP,FP,HIV
FP NEW CLIENTS JADELLE REMOVAL,FP,FP,HIV
FP NEW CLIENTS LAM,FP,FP,HIV
FP NEW CLIENTS MALE CONDOM,FP,FP,HIV
FP NEW CLIENTS MALE CONDOM BACK UP,FP,FP,HIV
FP NEW CLIENTS NATURAL METHODS,FP,FP,HIV
FP NEW CLIENTS POST PARTUM,FP,FP,HIV
FP NEW CLIENTS PROGESTRIN ONLY,FP,FP,HIV
FP NEW CLIENTS TUBAL LIGATION,FP,FP,HIV
FP NEW CLIENTS VASECTOMY,FP,FP,HIV
FP OTHER SIDE EFFECTS,FP,FP,HIV
FP OVERETTE,FP,FP,HIV
FP PELVIC INFECTION,FP,FP,HIV
FP PERSONNEL PROVIDING LPTM,FP,FP,HIV
FP PERSONNEL TRAINED IN LPTM,FP,FP,HIV
FP POST PARTUM TOTAL UNITS CYCLES,FP,FP,HIV
FP PREGNANCY,FP,FP,HIV
FP PROGESTRIN ONLY TOTAL UNITS CYCLES,FP,FP,HIV
FP RESTARTING COMBINED ORAL,FP,FP,HIV
FP RESTARTING FEMALE CONDOM,FP,FP,HIV
