Element Code,System,Label,Element,System Type ,Level ,HIV,Program Area,Kuunika Goal ,Potential Overlap (HIV),Overlap 
5376,HMIS,DHIS,VC LA 6X1 TAB,Electronic,District,Y,DRUGS,1,N,NULL
5377,HMIS,DHIS,VC LA 6X2 TAB,Electronic,District,Y,DRUGS,1,N,NULL
5378,HMIS,DHIS,VC MALNUTRITION,Electronic,District,Y,NUTRITION,3,Y,NULL
5379,HMIS,DHIS,VC MRDT NEGATIVE,Electronic,District,Y,HTC,2,Y,NULL
5380,HMIS,DHIS,VC MRDTPOSITIVE,Electronic,District,Y,HTC,2,Y,NULL
5381,HMIS,DHIS,VC N HSAS SUPERVISED IN CCM,Electronic,District,Y,OTHER,7,Y,NULL
5382,HMIS,DHIS,VC N HSAS WHO HAD THEIR SKILLS REINFORCED,Electronic,District,Y,OTHER,7,Y,NULL
5383,HMIS,DHIS,VC N HSAS WITH VILLAGE CLINICS,Electronic,District,Y,OTHER,7,Y,NULL
5384,HMIS,DHIS,VC N VILLAGE CLINIC VISITS DONE,Electronic,District,Y,OTHER,7,Y,NULL
4039,HMIS,DHIS,NUTRITION NONE,Electronic,District,Y,NUTRITION,3,?,NULL
4040,HMIS,DHIS,NUTRITION OTHER,Electronic,District,Y,NUTRITION,3,?,NULL
4041,HMIS,DHIS,NUTRITION POSTERS,Electronic,District,Y,NUTRITION,3,N,NULL
4042,HMIS,DHIS,NUTRITION RURAL COMM HOSP,Electronic,District,Y,NUTRITION,7,Y,NULL
4043,HMIS,DHIS,NUTRITION TOTAL# PROVIDED IN THIS QUARTER,Electronic,District,Y,NUTRITION,3,Y,NULL
4044,HMIS,DHIS,NUTRITION TV DVDS,Electronic,District,Y,NUTRITION,3,N,NULL
4045,HMIS,DHIS,OBG ABORTIONS MANAGED D+C,Electronic,District,N,NULL,NULL,NULL,NULL
4046,HMIS,DHIS,OBG ABORTIONS MANAGED EVACUATION,Electronic,District,N,NULL,NULL,NULL,NULL
4047,HMIS,DHIS,OBG ABORTIONS MANAGED MVA,Electronic,District,N,NULL,NULL,NULL,NULL
4048,HMIS,DHIS,OBG ADMISSION CERVICAL CANCER,Electronic,District,Y,CC,3,Y,NULL
4049,HMIS,DHIS,OBG ADMISSION OBSETRIC FISTULA,Electronic,District,N,NULL,NULL,NULL,NULL
4050,HMIS,DHIS,OBG ADMISSION PUBLIC ABSCESS,Electronic,District,N,NULL,NULL,NULL,NULL
4051,HMIS,DHIS,OBG ADMISSION TUBE OVARIAN MASS,Electronic,District,N,NULL,NULL,NULL,NULL
4052,HMIS,DHIS,OBG ADMISSION UTERINE FIBROIDS,Electronic,District,N,NULL,NULL,NULL,NULL
4053,HMIS,DHIS,OBG COMPLICATION ECTOPIC PREGNANCY,Electronic,District,N,NULL,NULL,NULL,NULL
4054,HMIS,DHIS,OBG COMPLICATIONS ABORTIONS,Electronic,District,N,NULL,NULL,NULL,NULL
4055,HMIS,DHIS,OBG COMPLICATIONS ANAEMIA IN PREGNANCY,Electronic,District,N,NULL,NULL,NULL,NULL
4056,HMIS,DHIS,OBG COMPLICATIONS HYPEREMESIS GRAVIDULUM,Electronic,District,N,NULL,NULL,NULL,NULL
4057,HMIS,DHIS,OBG COMPLICATIONS MALARIA IN PREGNANCY,Electronic,District,Y,MALARIA,3,Y,NULL
4058,HMIS,DHIS,OBG COMPLICATIONS MOLAR PREGNANCY,Electronic,District,N,NULL,NULL,NULL,NULL
4059,HMIS,DHIS,OBG COMPLICATIONS PNEUMONIA IN PREGNANCY,Electronic,District,N,NULL,NULL,NULL,NULL
4060,HMIS,DHIS,OBG DEATH CERVICAL CANCER,Electronic,District,Y,CC,3,Y,NULL
4061,HMIS,DHIS,OBG DEATH SEPSIS,Electronic,District,N,NULL,NULL,NULL,NULL
4062,HMIS,DHIS,OBG DEATH UTERINE FIBROIDS,Electronic,District,N,NULL,NULL,NULL,NULL
4063,HMIS,DHIS,OBG OTHER PREGNANCY RELATED DEATH CAUSES,Electronic,District,N,NULL,NULL,NULL,NULL
4064,HMIS,DHIS,OBS GYNAECOLOGIST,Electronic,District,N,NULL,NULL,NULL,NULL
4065,HMIS,DHIS,ONC ALL CANCERS OF THE BONE AND CARTILAGE,Electronic,District,N,NULL,NULL,NULL,NULL
4066,HMIS,DHIS,ONC ALL MALIGNANT MELANOMA OF THE SKIN,Electronic,District,N,NULL,NULL,NULL,NULL
4067,HMIS,DHIS,ONC ALL OTHER CANCER OF THE CENTRAL NERVOUS SYSTEM,Electronic,District,N,NULL,NULL,NULL,NULL
4068,HMIS,DHIS,ONC ALL OTHER CANCERS OF THE DIGESTIVE ORGANS,Electronic,District,N,NULL,NULL,NULL,NULL
4069,HMIS,DHIS,ONC ALL OTHER CANCERS OF THE ENDOCRINE GLANDS,Electronic,District,N,NULL,NULL,NULL,NULL
4070,HMIS,DHIS,ONC ALL OTHER CANCERS OF THE FEMALE GENITAL ORGANS,Electronic,District,N,NULL,NULL,NULL,NULL
4071,HMIS,DHIS,ONC ALL OTHER CANCERS OF THE MALE GENITAL ORGANS,Electronic,District,N,NULL,NULL,NULL,NULL
4072,HMIS,DHIS,ONC ALL OTHER CANCERS OF THE RESPIRATORY ORGANS,Electronic,District,N,NULL,NULL,NULL,NULL
4073,HMIS,DHIS,ONC ALL OTHER CANCERS OF THE THROAT,Electronic,District,N,NULL,NULL,NULL,NULL
4074,HMIS,DHIS,ONC ALL OTHER CANCERS OF THE URINARY ORGANS,Electronic,District,N,NULL,NULL,NULL,NULL
4075,HMIS,DHIS,ONC BED CAPACITY,Electronic,District,N,NULL,NULL,NULL,NULL
4076,HMIS,DHIS,ONC BRAIN CANCER,Electronic,District,N,NULL,NULL,NULL,NULL
4077,HMIS,DHIS,ONC BREAST CANCER,Electronic,District,N,NULL,NULL,NULL,NULL
4078,HMIS,DHIS,ONC BRONCHUS CANCER,Electronic,District,N,NULL,NULL,NULL,NULL
4079,HMIS,DHIS,ONC BURKITS LYMPHOMAS,Electronic,District,N,NULL,NULL,NULL,NULL
4080,HMIS,DHIS,ONC CANCER OF THE ANUS,Electronic,District,N,NULL,NULL,NULL,NULL
4081,HMIS,DHIS,ONC CANCER OF THE BLADDER,Electronic,District,N,NULL,NULL,NULL,NULL
4082,HMIS,DHIS,ONC CANCER OF THE EYE,Electronic,District,N,NULL,NULL,NULL,NULL
4083,HMIS,DHIS,ONC CANCER OF THE LIP ORAL CAVITY AND PHARYNX,Electronic,District,N,NULL,NULL,NULL,NULL
4084,HMIS,DHIS,ONC CANCER OF THE LIVER,Electronic,District,N,NULL,NULL,NULL,NULL
4085,HMIS,DHIS,ONC CANCER OF THE OESOPHAGUS,Electronic,District,N,NULL,NULL,NULL,NULL
4086,HMIS,DHIS,ONC CANCER OF THE OVARY,Electronic,District,N,NULL,NULL,NULL,NULL
4087,HMIS,DHIS,ONC CANCER OF THE PANCREAS,Electronic,District,N,NULL,NULL,NULL,NULL
4088,HMIS,DHIS,ONC CANCER OF THE RECTUM,Electronic,District,N,NULL,NULL,NULL,NULL
4089,HMIS,DHIS,ONC CANCER OF THE THYROID GLAND,Electronic,District,N,NULL,NULL,NULL,NULL
4090,HMIS,DHIS,ONC CANCER OF THE TRACHEA BRONCHUS AND LUNGS,Electronic,District,N,NULL,NULL,NULL,NULL
4091,HMIS,DHIS,ONC CANCER OF THE VAGINA,Electronic,District,N,NULL,NULL,NULL,NULL
4092,HMIS,DHIS,ONC CANCER OF THE VULVA,Electronic,District,N,NULL,NULL,NULL,NULL
4093,HMIS,DHIS,ONC CERVICAL CANCER,Electronic,District,Y,CC,3,Y,NULL
4094,HMIS,DHIS,ONC COLON CANCER,Electronic,District,N,NULL,NULL,NULL,NULL
4095,HMIS,DHIS,ONC DERMATOFIBROSARCOMA CANCER,Electronic,District,N,NULL,NULL,NULL,NULL
4096,HMIS,DHIS,ONC GASTRIC STOMACH CANCER,Electronic,District,N,NULL,NULL,NULL,NULL
4097,HMIS,DHIS,ONC HODGIKINS AND NON HODGIKINS LYMPAS,Electronic,District,N,NULL,NULL,NULL,NULL
4098,HMIS,DHIS,ONC IN PATIENT DAYS,Electronic,District,Y,OTHER,3,Y,NULL
4099,HMIS,DHIS,ONC KAPOSIS SARCOMA,Electronic,District,N,NULL,NULL,NULL,NULL
4100,HMIS,DHIS,ONC KIDNEY CANCER,Electronic,District,N,NULL,NULL,NULL,NULL
4101,HMIS,DHIS,ONC LARYPHARYNGEAL CANCER,Electronic,District,N,NULL,NULL,NULL,NULL
4102,HMIS,DHIS,ONC LEUKEMIA,Electronic,District,N,NULL,NULL,NULL,NULL
4103,HMIS,DHIS,ONC LUNGS CANCER,Electronic,District,N,NULL,NULL,NULL,NULL
4104,HMIS,DHIS,ONC MELANOM CANCER,Electronic,District,N,NULL,NULL,NULL,NULL
4105,HMIS,DHIS,ONC NASOPHARYNGEAL CANCER,Electronic,District,N,NULL,NULL,NULL,NULL
4106,HMIS,DHIS,ONC NO OF PATIENTS OPERATED ON WITHIN 7 DAYS,Electronic,District,N,NULL,NULL,NULL,NULL
4107,HMIS,DHIS,ONC NO OF PATIENTS SEEN BY SPEACILIST WITHIN 4 WKS OF APPOINTMENT,Electronic,District,N,NULL,NULL,NULL,NULL
4108,HMIS,DHIS,ONC NO OF PATIENTS WHO ABSCONDED TREATMENT,Electronic,District,N,NULL,NULL,NULL,NULL
4109,HMIS,DHIS,ONC NO OF PATIENTS WHO COMPLETED TREATMENT,Electronic,District,N,NULL,NULL,NULL,NULL
4110,HMIS,DHIS,ONC NO OF REPORTED KEY MEDICAL SUPPLIES STOCK OUTS OF MORE THAN 7 DAYS,Electronic,District,N,NULL,NULL,NULL,NULL
4111,HMIS,DHIS,ONC NO OF REPORTED KEY MEDICINES STOCK OUTS OF MORE THAN 7 DAYS,Electronic,District,N,NULL,NULL,NULL,NULL
4112,HMIS,DHIS,ONC NO OF REPORTED NON FUNCTIONAL MEDICAL EQUIPMENT LASTING MORE THAN 7DAYS,Electronic,District,N,NULL,NULL,NULL,NULL
4113,HMIS,DHIS,ONC NUMBER OF ADMISSIONS,Electronic,District,N,NULL,NULL,NULL,NULL
4114,HMIS,DHIS,ONC NUMBER OF DISCHARGES,Electronic,District,N,NULL,NULL,NULL,NULL
4115,HMIS,DHIS,ONC NUMBER OF IN PATIENT DEATHS,Electronic,District,N,NULL,NULL,NULL,NULL
4116,HMIS,DHIS,ONC NUMBER OF OPERATIONS,Electronic,District,N,NULL,NULL,NULL,NULL
4117,HMIS,DHIS,ONC OPD TOTAL ATTENDANCE,Electronic,District,N,NULL,NULL,NULL,NULL
4118,HMIS,DHIS,ONC OROPHARYNGEAL CANCER,Electronic,District,N,NULL,NULL,NULL,NULL
4119,HMIS,DHIS,ONC PENILE CANCER,Electronic,District,N,NULL,NULL,NULL,NULL
4120,HMIS,DHIS,ONC PROSTATE CANCER,Electronic,District,N,NULL,NULL,NULL,NULL
4121,HMIS,DHIS,ONC TRACHEA CANCER,Electronic,District,N,NULL,NULL,NULL,NULL
4122,HMIS,DHIS,OPD TOTAL ATTENDANCE <5 YEARS,Electronic,District,Y,OTHER,3,Y,NULL
4123,HMIS,DHIS,OPD TOTAL ATTENDANCE 5+ YEARS,Electronic,District,Y,OTHER,3,Y,NULL
4124,HMIS,DHIS,OPHTHALMOLOGIST,Electronic,District,N,NULL,NULL,NULL,NULL
4125,HMIS,DHIS,OR ALL OTHER BONE CONDITIONS,Electronic,District,N,NULL,NULL,NULL,NULL
4126,HMIS,DHIS,OR ARTHRITIS GOUT RH ARTHRITIS,Electronic,District,N,NULL,NULL,NULL,NULL
4127,HMIS,DHIS,OR ASEPTIC ARTHRITIS,Electronic,District,N,NULL,NULL,NULL,NULL
4128,HMIS,DHIS,OR BED CAPACITY,Electronic,District,N,NULL,NULL,NULL,NULL
4129,HMIS,DHIS,OR CONGENITAL DISEASE,Electronic,District,N,NULL,NULL,NULL,NULL
4130,HMIS,DHIS,OR CONTRACTURES OF JOINTS,Electronic,District,N,NULL,NULL,NULL,NULL
4131,HMIS,DHIS,OR CONTUSION,Electronic,District,N,NULL,NULL,NULL,NULL
4132,HMIS,DHIS,OR DEGENERATIVE HYPERTROPHIC SPONDYLITIS,Electronic,District,N,NULL,NULL,NULL,NULL
4133,HMIS,DHIS,OR DEGENERATIVE JOINT ARTHRITIS,Electronic,District,N,NULL,NULL,NULL,NULL
4134,HMIS,DHIS,OR DISLOCATIONS OF ALL TYPES,Electronic,District,N,NULL,NULL,NULL,NULL
4135,HMIS,DHIS,OR DISLOCATIONS OF ALL TYPES OSTEOMYELITIS,Electronic,District,N,NULL,NULL,NULL,NULL
4136,HMIS,DHIS,OR FRACTURE OF ALL TYPES,Electronic,District,N,NULL,NULL,NULL,NULL
4137,HMIS,DHIS,OR GRANULOMAS,Electronic,District,N,NULL,NULL,NULL,NULL
4138,HMIS,DHIS,OR INPATIENT DAYS,Electronic,District,N,NULL,NULL,NULL,NULL
4139,HMIS,DHIS,OR MALIGNANT TUMOURS,Electronic,District,N,NULL,NULL,NULL,NULL
4140,HMIS,DHIS,OR NO OF DEATHS,Electronic,District,N,NULL,NULL,NULL,NULL
4141,HMIS,DHIS,OR NO OF DISCHARGES,Electronic,District,N,NULL,NULL,NULL,NULL
4142,HMIS,DHIS,OR NO OF PATIENTS OPERATED ON WITHIN 7 DAYS,Electronic,District,N,NULL,NULL,NULL,NULL
4143,HMIS,DHIS,OR NO OF PATIENTS SEEN BY SPECIALIST WITHIN 4WKS OF APPOINTMENT,Electronic,District,N,NULL,NULL,NULL,NULL
4144,HMIS,DHIS,OR NO OF PATIENTS WHO ABSCONDED TREATMENT,Electronic,District,N,NULL,NULL,NULL,NULL
4145,HMIS,DHIS,OR NO OF REPORTED KEY MEDICAL SUPPLIES STOCK OUTS OF MORE THAN 7 DAYS,Electronic,District,N,NULL,NULL,NULL,NULL
4146,HMIS,DHIS,OR NO OF REPORTED KEY MEDICINES STOCK OUTS OF MORE THAN 7 DAYS,Electronic,District,N,NULL,NULL,NULL,NULL
4147,HMIS,DHIS,OR NO OF REPORTED NON FUNCTIONAL MEDICAL EQUIPMENT LASTING MORE THAN 7DAYS,Electronic,District,N,NULL,NULL,NULL,NULL
4148,HMIS,DHIS,OR NON MALIGNANT TUMOURS,Electronic,District,N,NULL,NULL,NULL,NULL
4149,HMIS,DHIS,OR NUMBER OF ADMISSIONS,Electronic,District,N,NULL,NULL,NULL,NULL
4150,HMIS,DHIS,OR OPD TOTAL ATTENDANCE,Electronic,District,N,NULL,NULL,NULL,NULL
4151,HMIS,DHIS,OR PARALYSIS DUE TO HYPERTENSION,Electronic,District,N,NULL,NULL,NULL,NULL
4152,HMIS,DHIS,OR SEPTIC ARTHRITIS,Electronic,District,N,NULL,NULL,NULL,NULL
4153,HMIS,DHIS,OR TENDON INJURIES,Electronic,District,N,NULL,NULL,NULL,NULL
4154,HMIS,DHIS,OR TENDONITIS,Electronic,District,N,NULL,NULL,NULL,NULL
4155,HMIS,DHIS,OR TRAUMATIC AMPUTATION,Electronic,District,N,NULL,NULL,NULL,NULL
4156,HMIS,DHIS,ORC ABOVE ELBOW,Electronic,District,N,NULL,NULL,NULL,NULL
4157,HMIS,DHIS,ORC ABOVE ELBOW ORTHOSIS,Electronic,District,N,NULL,NULL,NULL,NULL
4158,HMIS,DHIS,ORC ABOVE KNEE PROSTHESIS EXOSKELETON,Electronic,District,N,NULL,NULL,NULL,NULL
4159,HMIS,DHIS,ORC ABOVE KNEE PROSTHESIS MODULAR,Electronic,District,N,NULL,NULL,NULL,NULL
4160,HMIS,DHIS,ORC BACK STOP ONLY,Electronic,District,N,NULL,NULL,NULL,NULL
4161,HMIS,DHIS,ORC BELOW ELBOW,Electronic,District,N,NULL,NULL,NULL,NULL
4162,HMIS,DHIS,ORC BELOW KNEE IRON – B STOPS,Electronic,District,N,NULL,NULL,NULL,NULL
4163,HMIS,DHIS,ORC BELOW KNEE IRONS B STOPS BILATERAL,Electronic,District,N,NULL,NULL,NULL,NULL
4164,HMIS,DHIS,ORC BELOW KNEE PROSTHESIS  ENDOSKELETON ,Electronic,District,N,NULL,NULL,NULL,NULL
4165,HMIS,DHIS,ORC BELOW KNEE PROSTHESIS PTB,Electronic,District,N,NULL,NULL,NULL,NULL
4166,HMIS,DHIS,ORC CERVICAL COLLAR – HARD,Electronic,District,N,NULL,NULL,NULL,NULL
4167,HMIS,DHIS,ORC CERVICAL COLLAR – SPONGY,Electronic,District,N,NULL,NULL,NULL,NULL
4168,HMIS,DHIS,ORC DROP FOOT SPLINT,Electronic,District,N,NULL,NULL,NULL,NULL
4169,HMIS,DHIS,ORC ELBOW DISARTICULATION,Electronic,District,N,NULL,NULL,NULL,NULL
4170,HMIS,DHIS,ORC EXTENSION PROSTHESIS WITH KNEE JOINT,Electronic,District,N,NULL,NULL,NULL,NULL
4171,HMIS,DHIS,ORC EXTENSION PROSTHESIS WITHOUT KNEE JOINT,Electronic,District,N,NULL,NULL,NULL,NULL
4172,HMIS,DHIS,ORC HAND ORTHOSIS,Electronic,District,N,NULL,NULL,NULL,NULL
4173,HMIS,DHIS,ORC HIP DISARTICULATION PROSTHESIS,Electronic,District,N,NULL,NULL,NULL,NULL
4174,HMIS,DHIS,ORC JOINT CALIPER WITH DROP LOCK,Electronic,District,N,NULL,NULL,NULL,NULL
4175,HMIS,DHIS,ORC JOINTED CALIPER WITH SWISS LOCK  SINGLE ,Electronic,District,N,NULL,NULL,NULL,NULL
4176,HMIS,DHIS,ORC JOINTED KAFO WITH OFFSET JOINT,Electronic,District,N,NULL,NULL,NULL,NULL
4177,HMIS,DHIS,ORC KNEE STABILIZER  REHABILITATIVE CORRECTIVE ,Electronic,District,N,NULL,NULL,NULL,NULL
4178,HMIS,DHIS,ORC PARTIAL FOOT AMPUTATION,Electronic,District,N,NULL,NULL,NULL,NULL
4179,HMIS,DHIS,ORC RAISE COMPENSATION – CORK 25CM,Electronic,District,N,NULL,NULL,NULL,NULL
4180,HMIS,DHIS,ORC RAISE COMPENSATION – RUBBER,Electronic,District,N,NULL,NULL,NULL,NULL
4181,HMIS,DHIS,ORC SHOULDER DISARTICULATION,Electronic,District,N,NULL,NULL,NULL,NULL
4182,HMIS,DHIS,ORC SPINAL CORSET – MILWAUKEE,Electronic,District,N,NULL,NULL,NULL,NULL
4183,HMIS,DHIS,ORC SPINAL CORSET – RAHMEN STUTZ,Electronic,District,N,NULL,NULL,NULL,NULL
4184,HMIS,DHIS,ORC SPINAL CORSET LUMBAR SACRAL,Electronic,District,N,NULL,NULL,NULL,NULL
4185,HMIS,DHIS,ORC STRAIGHT BAR CALIPER  BILATERAL ,Electronic,District,N,NULL,NULL,NULL,NULL
4186,HMIS,DHIS,ORC STRAIGHT BAR CALIPER  UNILATERAL ,Electronic,District,N,NULL,NULL,NULL,NULL
4187,HMIS,DHIS,ORC SURGICAL FOOTWEAR,Electronic,District,N,NULL,NULL,NULL,NULL
4188,HMIS,DHIS,ORC SYMES AMPUTATION,Electronic,District,N,NULL,NULL,NULL,NULL
4189,HMIS,DHIS,ORC THROUGH KNEE  KNEE DISARTICULATION ,Electronic,District,N,NULL,NULL,NULL,NULL
4190,HMIS,DHIS,ORC THROUGH KNEE CONVENTIONAL,Electronic,District,N,NULL,NULL,NULL,NULL
4191,HMIS,DHIS,ORC TRANSVERSAL LONGITUDINAL ARCH SUPPORT,Electronic,District,N,NULL,NULL,NULL,NULL
4192,HMIS,DHIS,ORC WRIST DISARTICULATION,Electronic,District,N,NULL,NULL,NULL,NULL
4193,HMIS,DHIS,OTHER GENITO URINARY TRACT INFECTION ADMISSION,Electronic,District,N,NULL,NULL,NULL,NULL
4194,HMIS,DHIS,OTHER GENITO URINARY TRACT INFECTION INPATIENT DEATH,Electronic,District,N,NULL,NULL,NULL,NULL
4195,HMIS,DHIS,OTHER GENITO URINARY TRACT INFECTION NEW,Electronic,District,N,NULL,NULL,NULL,NULL
4196,HMIS,DHIS,OTHER HEART DISEASES ADMISSION,Electronic,District,N,NULL,NULL,NULL,NULL
4197,HMIS,DHIS,OTHER HEART DISEASES INPATIENT DEATH,Electronic,District,N,NULL,NULL,NULL,NULL
4198,HMIS,DHIS,OTHER HEART DISEASES NEW,Electronic,District,N,NULL,NULL,NULL,NULL
4199,HMIS,DHIS,OTHER LOWER RESPIRATORY INFECTION ADMISSION,Electronic,District,N,NULL,NULL,NULL,NULL
4200,HMIS,DHIS,OTHER LOWER RESPIRATORY INFECTION INPATIENT DEATH,Electronic,District,N,NULL,NULL,NULL,NULL
4201,HMIS,DHIS,OTHER LOWER RESPIRATORY INFECTION NEW,Electronic,District,N,NULL,NULL,NULL,NULL
4202,HMIS,DHIS,OTHER ORAL CONDITIONS ADMISSION,Electronic,District,N,NULL,NULL,NULL,NULL
4203,HMIS,DHIS,OTHER ORAL CONDITIONS INPATIENT DEATH,Electronic,District,N,NULL,NULL,NULL,NULL
4204,HMIS,DHIS,OTHER ORAL CONDITIONS NEW,Electronic,District,N,NULL,NULL,NULL,NULL
4205,HMIS,DHIS,OTHER SKIN CONDITIONS ADMISSION,Electronic,District,N,NULL,NULL,NULL,NULL
4206,HMIS,DHIS,OTHER SKIN CONDITIONS INPATIENT DEATH,Electronic,District,N,NULL,NULL,NULL,NULL
4207,HMIS,DHIS,OTHER SPECIFY PACKAGING AND UNIT,Electronic,District,?,OTHER,NULL,NULL,NULL
4208,HMIS,DHIS,OTHER SPECIFY QUANTITY DISTRIBUTED TO BENEFICIARIES,Electronic,District,?,OTHER,NULL,NULL,NULL
4209,HMIS,DHIS,OTHER SPECIFY QUANTITY LOST,Electronic,District,?,OTHER,NULL,NULL,NULL
4210,HMIS,DHIS,OTHER SPECIFY QUANTITY USED FOR COOKING DEMONSTRATION,Electronic,District,?,OTHER,NULL,NULL,NULL
4211,HMIS,DHIS,OTHER SPECIFY REQUEST FOR THE FOLLOWING MONTH,Electronic,District,Y,OTHER,NULL,N,NULL
4212,HMIS,DHIS,OTHER SPECIFY STOCK DELIVERED IN THE MONTH,Electronic,District,Y,DRUGS,1,Y,NULL
4213,HMIS,DHIS,OTHER SPECIFY STOCK ON THE FIRST DAY OF THE MONTH,Electronic,District,Y,DRUGS,1,Y,NULL
4214,HMIS,DHIS,OTHER SPECIFY STOCK ON THE LAST DAY OF THE MONTH,Electronic,District,Y,DRUGS,1,Y,NULL
4215,HMIS,DHIS,OTP 6 59 MONTHS,Electronic,District,Y,NUTRITION,3,Y,NULL
4216,HMIS,DHIS,OTP 60 MONTHS < 12 YEARS,Electronic,District,Y,NUTRITION,3,Y,NULL
4217,HMIS,DHIS,OTP CHECKED BY,Electronic,District,Y,NUTRITION,3,Y,NULL
4218,HMIS,DHIS,OTP CHILD HIV SEROSTATUS,Electronic,District,Y,NUTRITION,34,Y,NULL
4219,HMIS,DHIS,OTP CHILDREN REFERRED FOR HTC,Electronic,District,Y,NUTRITION,23,Y,NULL
4220,HMIS,DHIS,OTP CHILDREN TESTED FOR HIV,Electronic,District,Y,NUTRITION,23,Y,NULL
4221,HMIS,DHIS,OTP COMMENTS ON PERFOMANCE INDACATORS,Electronic,District,Y,NUTRITION,8,N,NULL
4222,HMIS,DHIS,OTP DIRECT ADMISSIONS,Electronic,District,Y,NUTRITION,3,Y,NULL
4223,HMIS,DHIS,OTP EXPOSED CHILDREN,Electronic,District,Y,NUTRITION,3,Y,NULL
4224,HMIS,DHIS,OTP MATERNAL HIV SEROSTATUS,Electronic,District,Y,NUTRITION,36,Y,NULL
4225,HMIS,DHIS,OTP MEAN LENGTH OF STAY,Electronic,District,Y,NUTRITION,3,Y,NULL
4226,HMIS,DHIS,OTP NEW ADMISSIONS BY GENDER,Electronic,District,Y,NUTRITION,3,Y,NULL
4227,HMIS,DHIS,OTP NRU TRANSFERS,Electronic,District,Y,NUTRITION,3,Y,NULL
4228,HMIS,DHIS,OTP NUMBER OF CHILDREN ON ART,Electronic,District,Y,NUTRITION,34,Y,NULL
4229,HMIS,DHIS,OTP NUMBER OF RELAPSES,Electronic,District,Y,NUTRITION,3,Y,NULL
4230,HMIS,DHIS,OTP NUMBER OF TWIN CHILDREN,Electronic,District,Y,NUTRITION,3,Y,NULL
4231,HMIS,DHIS,OTP PREPARED BY,Electronic,District,Y,NUTRITION,3,Y,NULL
4232,HMIS,DHIS,PAEDIATRICIAN,Electronic,District,Y,OTHER,7,Y,NULL
4233,HMIS,DHIS,PARTNER SLIPS DISTRIBUTED,Electronic,District,Y,DRUGS,1,?,NULL
4234,HMIS,DHIS,PARTNER SLIPS RETRIEVED,Electronic,District,Y,DRUGS,1,?,NULL
4235,HMIS,DHIS,PATHOLOGIST,Electronic,District,Y,OTHER,7,?,NULL
4236,HMIS,DHIS,PATIENTS TESTED FOR HIV,Electronic,District,Y,HTC,2,Y,NULL
4237,HMIS,DHIS,PATIENTS TESTED FOR HIV AS A COUPLE,Electronic,District,Y,HTC,2,Y,NULL
4238,HMIS,DHIS,PC FEMALES,Electronic,District,Y,DEMO,7,?,NULL
4239,HMIS,DHIS,PC MALES,Electronic,District,Y,DEMO,7,?,NULL
4240,HMIS,DHIS,PC PATIENTS REGISTERED IN MONTH,Electronic,District,Y,DEMO,7,?,NULL
4241,HMIS,DHIS,PED ACUTE MALNUTRITION,Electronic,District,Y,NUTRITION,3,Y,NULL
4242,HMIS,DHIS,PED AIDS,Electronic,District,Y,ART,4,Y,NULL
4243,HMIS,DHIS,PED ALL CANCERS,Electronic,District,Y,OTHER,3,Y,NULL
4244,HMIS,DHIS,PED ALL MALARIA UNDER 5 YEARS,Electronic,District,Y,MALARIA,3,Y,NULL
4245,HMIS,DHIS,PED ALL SURGICAL CONDITIONS,Electronic,District,N,NULL,NULL,NULL,NULL
4246,HMIS,DHIS,PED ANAEMIA,Electronic,District,N,NULL,NULL,NULL,NULL
4247,HMIS,DHIS,PED ASTHMA ALL FORMS,Electronic,District,N,NULL,NULL,NULL,NULL
4248,HMIS,DHIS,PED BED CAPACITY,Electronic,District,N,NULL,NULL,NULL,NULL
4249,HMIS,DHIS,PED BILHARZIA,Electronic,District,N,NULL,NULL,NULL,NULL
4250,HMIS,DHIS,PED BRONCHITIS  ALL FORMS ,Electronic,District,N,NULL,NULL,NULL,NULL
4251,HMIS,DHIS,PED CHICKEN POX,Electronic,District,N,NULL,NULL,NULL,NULL
4252,HMIS,DHIS,PED CHOLERA,Electronic,District,N,NULL,NULL,NULL,NULL
4253,HMIS,DHIS,PED CONGENITAL HEART DISEASES,Electronic,District,N,NULL,NULL,NULL,NULL
4254,HMIS,DHIS,PED DIARRHOEA DISEASES  NON BLOODY  <5,Electronic,District,N,NULL,NULL,NULL,NULL
4255,HMIS,DHIS,PED DIARRHOEA DISEASES  NON BLOODY  5>,Electronic,District,N,NULL,NULL,NULL,NULL
4256,HMIS,DHIS,PED DIPHTHERIA,Electronic,District,N,NULL,NULL,NULL,NULL
4257,HMIS,DHIS,PED DYSENTERY,Electronic,District,N,NULL,NULL,NULL,NULL
4258,HMIS,DHIS,PED EAR INFECTIONS,Electronic,District,N,NULL,NULL,NULL,NULL
4259,HMIS,DHIS,PED EPIGLOTITIS,Electronic,District,N,NULL,NULL,NULL,NULL
4260,HMIS,DHIS,PED EPILEPSY,Electronic,District,N,NULL,NULL,NULL,NULL
4261,HMIS,DHIS,PED GENDER BASED PHYSICAL INJURIES,Electronic,District,N,NULL,NULL,NULL,NULL
4262,HMIS,DHIS,PED GENERAL ASSAULT INJURIES,Electronic,District,N,NULL,NULL,NULL,NULL
4263,HMIS,DHIS,PED GENERAL MALNUTRITION,Electronic,District,Y,NUTRITION,3,Y,NULL
4264,HMIS,DHIS,PED GENERAL PALSY,Electronic,District,N,NULL,NULL,NULL,NULL
