Table,Element
DHIS,ART REGIMENS REGIMEN 3A
DHIS,ART REGIMENS REGIMEN 3P
DHIS,ART REGIMENS REGIMEN 4A
DHIS,ART REGIMENS REGIMEN 4P
DHIS,ART REGIMENS REGIMEN 5A
DHIS,ART REGIMENS REGIMEN 6A
DHIS,ART REGIMENS REGIMEN 7A
DHIS,ART REGIMENS REGIMEN 8A
DHIS,ART REGIMENS REGIMEN 9P
DHIS,ART SIDE EFFECTS ANY SIDE EFFECTS
DHIS,ART SIDE EFFECTS NONE
DHIS,ART SIDE EFFECTS UNKNOWN
DHIS,ART START TIME
DHIS,ART STARTED ART
DHIS,ART STI TREAT
DHIS,ART STOPPED TAKING ARVS
DHIS,"ART TB REG INITIATION "
DHIS,ART TB STATUS CONF NOT ON RX
DHIS,ART TB STATUS CONF ON TB RX
DHIS,ART TB STATUS NOT SUSPECTED
DHIS,ART TB STATUS SUSPECTED
DHIS,ART TB STATUS UNKNOWN
DHIS,ART TB WITHIN THE LAST 2 YEARS
DHIS,ART TLC <1200 MM3
DHIS,ART TOTAL ALIVE AND ON ART
DHIS,ART TOTAL PERSONS GIVEN PEP IN LAST QUARTER
DHIS,ART TOTAL REGISTERED
DHIS,ART TOTAL RETAINED ALIVE IN PRE ART FOLLOW UP
DHIS,ART TRANSFERRED OUT
DHIS,"ART TRANSFERRED OUT  PRE ART "
DHIS,ART TRANSFUSION
DHIS,ART UNKNOWN REASON OUTSIDE GUIDELINES
DHIS,ART VISIT DATE
DHIS,ART WHO STAGE 3
DHIS,ART WHO STAGE 4
DHIS,ART WOMEN RECEIVED DEPO AT ART IN THE LAST QUARTER
DHIS,ART WOMEN RECEIVED DEPO AT PRE ART IN THE LAST QUARTER
DHIS,ASTHMA ADMISSION
DHIS,ASTHMA INPATIENT DEATH
DHIS,ASTHMA NEW
DHIS,B  OF THOSE ASSESSED # WITH MODERATE UNDERNUTRITION ANC PMTC
DHIS,B  OF THOSE ASSESSED # WITH MODERATE UNDERNUTRITION OPD
DHIS,B  OF THOSE ASSESSED # WITH MODERATE UNDERNUTRITION OTHER
DHIS,B  OF THOSE ASSESSED # WITH MODERATE UNDERNUTRITION PRE ART ART
DHIS,B  OF THOSE ASSESSED # WITH MODERATE UNDERNUTRITION TB
DHIS,BILHARZIA ADMISSION
DHIS,BILHARZIA INPATIENT DEATH
DHIS,CANCER # OF COMMUNITY MEETINGS COMMEMORATION DAYS
DHIS,CANCER # OF FILM SHOWS
DHIS,CANCER # OF INTERACTIVE DRAMA SESSIONS
DHIS,CANCER # OF ROAD SHOWS
DHIS,CANCER DISTRICT HOSPITAL
DHIS,CANCER FLIPCHART
DHIS,CANCER HEALTH CENTRE
DHIS,CANCER LEAFLETS
DHIS,CANCER NONE
DHIS,CANCER OTHER
DHIS,CANCER POSTERS
DHIS,CANCER RURAL COMM HOSP
DHIS,CANCER TOTAL# PROVIDED IN THIS QUARTER
DHIS,CANCER TV DVDS
DHIS,CATARACT ADMISSION
DHIS,CATARACT INPATIENT DEATH
DHIS,CATARACT NEW
DHIS,CBD CLIENT AGE 19 25
DHIS,CBD CLIENT AGE 26 35
DHIS,CBD CLIENT AGE 36 49
DHIS,CBD CLIENT AGE<18
DHIS,CBD CLIENTS CHANGING METHODS
DHIS,CBD CONTINUING CLIENTS
DHIS,CBD DEPO
DHIS,CBD HEALTH EDUCATION MESSAGES F
DHIS,CBD HEALTH EDUCATION MESSAGES M
DHIS,CBD IMPLANTS
DHIS,CBD IMPLANTS IMPLANON
DHIS,CBD IMPLANTS JADELLE
DHIS,CBD LOOP
DHIS,CBD LOSSES ADJUSTMENT +VE
DHIS,CBD LOSSES ADJUSTMENT VE
DHIS,CBD NEW CLIENTS
DHIS,CBD NEW QUANTITY ON HAND
DHIS,CBD PHYSICAL EXAMINATIONS
DHIS,CBD QUANTITY DISPENSED
DHIS,CBD QUANTITY ISSUED
DHIS,CBD QUANTITY ON HAND
DHIS,CBD RETURNING CLIENTS
DHIS,CBD SIDE EFFECTS
DHIS,CBD TUBAL LIGATION
DHIS,CBMNC # OF 1ST HOME VISITS TO MOTHER NEWBORNS WITHIN 3 DAYS OF DELIVERY
DHIS,CBMNC # OF 1ST HOME VISITS TO PREGNANT WOMEN CONDUCTED THIS MONTH
DHIS,CBMNC # OF HOME VISITS TO MOTHERS NEWBORNS WITHIN 1 WEEK OF DELIVERY
DHIS,CBMNC # OF NEWBORNS WITH 1 OR MORE DANGER SIGNS REFERRED TO HEALTH FACILITY
DHIS,CBMNC # OF PREGNANT WOMEN WITH 1 OR MORE DANGER SIGNS REFERRED TO HEALTH FACILITY
DHIS,CBMNC # OF REPORTING HEALTH CENTRES
DHIS,CBMNC # OF SECOND HOME VISITS TO PREGNANT WOMEN CONDUCTED THIS MONTH
DHIS,CBMNC # OF WOMEN WITH ONE OR MORE DANGER SIGN REFERRED TO HEALTH FACILITY AFTER DELIVERY
DHIS,CBMNH # HSAS REPORTING THIS MONTH
DHIS,CBMNH # HSAS TRAINED IN CBMNC
DHIS,CBMNH # OF BABIES IDENTIFIED AS LBW  <2500G  BY HSA WITHIN 8 DAYS OF DELIVERY
DHIS,CBMNH # OF BIRTHS  HOME OR FACILITY  REGISTERED BY HSAS THIS MONTH
DHIS,CBMNH # OF COMPLETED PREGNANCIES THIS MONTH
DHIS,CBMNH # OF EARLY NEONATAL DEATHS  0 7 DAYS AFTER BIRTH  OCCURRED IN THE COMMUNITY
DHIS,CBMNH # OF ELIGIBLE LBW  BETWEEN 2000G AND 2500G  INITIATING COMMUNITY KMC
DHIS,CBMNH # OF HOME DELIVERIES REGISTERED BY HSAS THIS MONTH
DHIS,CBMNH # OF LBW NEWBORNS WHO ARE REFERRED FOR EXTRA CARE
DHIS,CBMNH # OF LIVE BIRTHS  HOME OR FACILITY  REGISTERED BY HSAS THIS MONTH
DHIS,CBMNH # OF LIVE BIRTHS DELIVERED AT HOME REGISTERED BY HSAS THIS MONTH
DHIS,CBMNH # OF NEW PREGNANCIES REGISTERED THIS MONTH
DHIS,CBMNH # OF NEWBORNS BORN AT HOME WHO RECEIVE A HOME VISIT BY AN HSA WITHIN 24 HOURS OF DELIVERY
DHIS,CBMNH # OF NEWBORNS WHO RECEIVE AT LEAST 1 HOME VISIT FROM AN HSA WITHIN 3 DAYS OF DELIVERY
DHIS,CBMNH # OF NEWBORNS WHO RECEIVE AT LEAST 2 HOME VISITS FROM AN HSA WITHIN 8 DAYS OF DELIVERY
DHIS,CBMNH # OF NEWBORNS WITH AT LEAST ONE DANGER SIGN REFERRED BY AN HSA TO A HEALTH FACILITY
DHIS,CBMNH # OF PREGNANT WOMEN WHO HAVE A COMPLETE BIRTH PLAN BY THE END OF THIRD TRIMESTER
DHIS,CBMNH # OF PREGNANT WOMEN WHO RECEIVE AT LEAST ONE HOME VISIT BY AN HSA
DHIS,CBMNH # OF PREGNANT WOMEN WITH AT LEAST ONE DANGER SIGN REFERRED BY AN HSA TO A HEALTH FACILITY
DHIS,CBMNH # OF WOMEN WHO DELIVERED AT HOME WHO RECEIVED POSTNATAL HOME VISIT WITHIN 24 HRS OF DELIVERY BY A HSA
DHIS,CBMNH # OF WOMEN WHO DIED DURING DELIVERY AND WITHIN 8 DAYS OF DELIVERY
DHIS,CBMNH # OF WOMEN WHO DIED DURING PREGNANCY
DHIS,CBMNH # OF WOMEN WHO RECEIVE AT LEAST 1 POSTNATAL HOME VISIT BY AN HSA WITHIN 3 DAYS OF DELIVERY
DHIS,CBMNH # OF WOMEN WHO RECEIVE AT LEAST 2 POSTNATAL HOME VISITS BY AN HSA WITHIN 8 DAYS OF DELIVERY
DHIS,CBMNH HF CATCHMENT POPULATION
DHIS,CC 1 YEAR FOLLOW UP <30
DHIS,CC 1 YEAR FOLLOW UP >45
DHIS,CC 1 YEAR FOLLOW UP 30 45
DHIS,CC 1 YEAR FOLLOW UP HIV
DHIS,CC 1 YEAR FOLLOW UP HIV+
DHIS,CC 1 YEAR FOLLOW UP UNKNOWN
DHIS,CC 1 YEAR FOLLOW UP VIA + <30
DHIS,CC 1 YEAR FOLLOW UP VIA + >45
DHIS,CC 1 YEAR FOLLOW UP VIA + HIV
DHIS,CC 1 YEAR FOLLOW UP VIA + HIV+
DHIS,CC 1 YEAR FOLLOW UP VIA + UNKNOWN
DHIS,CC 1 YEAR FOLLOW UP VIA +30 45
DHIS,CC 1 YEAR FOLLOW UP VIA <30
DHIS,CC 1 YEAR FOLLOW UP VIA >45
DHIS,CC 1 YEAR FOLLOW UP VIA 30 45
DHIS,CC 1 YEAR FOLLOW UP VIA HIV
DHIS,CC 1 YEAR FOLLOW UP VIA HIV+
DHIS,CC 1 YEAR FOLLOW UP VIA UNKNOWN
DHIS,CC 3 MONTHS REVIEW <30
DHIS,CC 3 MONTHS REVIEW >45
DHIS,CC 3 MONTHS REVIEW 30 45
DHIS,CC 3 MONTHS REVIEW HIV
DHIS,CC 3 MONTHS REVIEW HIV+
DHIS,CC 3 MONTHS REVIEW UNKNOWN
DHIS,CC IMMEDIATE CRYO DONE <30
DHIS,CC IMMEDIATE CRYO DONE >45
DHIS,CC IMMEDIATE CRYO DONE 30 45
DHIS,CC IMMEDIATE CRYO DONE HIV
DHIS,CC IMMEDIATE CRYO DONE HIV+
DHIS,CC IMMEDIATE CRYO DONE UNKNOWN
DHIS,CC INITIAL VIA >45
DHIS,CC INITIAL VIA 30 45
DHIS,CC INITIAL VIA HIV
DHIS,CC INITIAL VIA HIV +
DHIS,CC INITIAL VIA HIV <30
DHIS,CC INITIAL VIA HIV UNKNOWN
DHIS,CC INITIAL VIA UNKNOWN
DHIS,CC INITIAL VIA+ <30
DHIS,CC INITIAL VIA+ >45
DHIS,CC INITIAL VIA+ 30 45
DHIS,CC INITIAL VIA+ HIV
DHIS,CC INITIAL VIA+ HIV +
DHIS,CC INITIAL VIA+ UNKNOWN
DHIS,CC POSTPONED CRYO <30
DHIS,CC POSTPONED CRYO >45
DHIS,CC POSTPONED CRYO 30 45
DHIS,CC POSTPONED CRYO DONE <30
DHIS,CC POSTPONED CRYO DONE >45
DHIS,CC POSTPONED CRYO DONE 30 45
DHIS,CC POSTPONED CRYO DONE HIV
DHIS,CC POSTPONED CRYO DONE HIV+
DHIS,CC POSTPONED CRYO DONE UNKNOWN
DHIS,CC POSTPONED CRYO HIV
DHIS,CC POSTPONED CRYO HIV+
DHIS,CC POSTPONED CRYO NOT DONE <30
DHIS,CC POSTPONED CRYO NOT DONE >45
DHIS,CC POSTPONED CRYO NOT DONE 30 45
DHIS,CC POSTPONED CRYO NOT DONE HIV
DHIS,CC POSTPONED CRYO NOT DONE HIV+
DHIS,CC POSTPONED CRYO NOT DONE UNKNOWN
DHIS,CC POSTPONED CRYO UNKNOWN
DHIS,CC PROBLEM VISIT <30
DHIS,CC PROBLEM VISIT >45
DHIS,CC PROBLEM VISIT 30 45
DHIS,CC PROBLEM VISIT HIV
DHIS,CC PROBLEM VISIT HIV+
DHIS,CC PROBLEM VISIT UNKNOWN
DHIS,CC REFERRAL >45
DHIS,CC REFERRAL LARGE LESION <30
DHIS,CC REFERRAL LARGE LESION >45
DHIS,CC REFERRAL LARGE LESION 30 45
DHIS,CC REFERRAL LARGE LESION HIV
DHIS,CC REFERRAL LARGE LESION HIV+
DHIS,CC REFERRAL LARGE LESION UNKNOWN
DHIS,CC REFERRAL OTHER GYN <30
DHIS,CC REFERRAL OTHER GYN >45
DHIS,CC REFERRAL OTHER GYN 30 45
DHIS,CC REFERRAL OTHER GYN HIV
DHIS,CC REFERRAL OTHER GYN HIV+
DHIS,CC REFERRAL OTHER GYN UNKNOWN
DHIS,CC REFERRAL SUSPECT CANCER <30
DHIS,CC REFERRAL SUSPECT CANCER >45
DHIS,CC REFERRAL SUSPECT CANCER 30 45
DHIS,CC REFERRAL SUSPECT CANCER HIV
DHIS,CC REFERRAL SUSPECT CANCER HIV+
DHIS,CC REFERRAL SUSPECT CANCER UNKNOWN
DHIS,CHICKEN POX ADMISSION
DHIS,CHICKEN POX INPATIENT DEATH
DHIS,CHICKEN POX NEW
DHIS,CHOLERA ADMISSION
DHIS,CHOLERA UNDER 5 YEARS ADMISSION
DHIS,CHOLERA UNDER 5 YEARS INPATIENT DEATH
DHIS,CHOLERA UNDER 5 YEARS NEW
DHIS,CHRONIC PSYCHIATRIC DISORDER ADMISSION
DHIS,CHRONIC PSYCHIATRIC DISORDER INPATIENT DEATH
DHIS,CHRONIC PSYCHIATRIC DISORDER NEW
DHIS,CLINICAL OFFICERS IN POST
DHIS,COMM NURSES IN POSTS
DHIS,COUNT  OF THOSE ASSESSED # WITH NORMAL NUTRITIONAL STATUS ANC PMTC
DHIS,COUNT  OF THOSE ASSESSED # WITH NORMAL NUTRITIONAL STATUS OPD
DHIS,COUNT  OF THOSE ASSESSED # WITH NORMAL NUTRITIONAL STATUS OTHER
DHIS,COUNT  OF THOSE ASSESSED # WITH NORMAL NUTRITIONAL STATUS PRE ART ART
DHIS,COUNT  OF THOSE ASSESSED # WITH NORMAL NUTRITIONAL STATUS TB
DHIS,CS AIR WAY BREATHING
DHIS,CS COMA
DHIS,CS CONVULSIONS
DHIS,CS DIARRHOEA
DHIS,CS DIARRHOEA ADMISSIONS
DHIS,CS MALARIA
DHIS,CS MALARIA ADMISSIONS
DHIS,CS MALNUTRITION
DHIS,CS MALNUTRITION ADMISSIONS
DHIS,CS MENINGITIS
DHIS,CS MENINGITIS ADMISSIONS
DHIS,CS N SEPSIS
DHIS,CS NEONATAL SEPSIS ADMISSIONS
DHIS,CS OTHERS
DHIS,CS OTHERS ADMISSIONS
DHIS,CS PNEUMONIA
DHIS,CS PNEUMONIA ADMISSIONS
DHIS,CS PROPORTION OF DEATHS WITHIN 24 HOURS
DHIS,CS SEVERE DEHYDRATION
DHIS,CS SHOCK
DHIS,CSB LIKUNI PHALA DELIVERIES RECEIVED IN THE MONTH
DHIS,CSB LIKUNI PHALA PACKAGING AND UNIT
DHIS,CSB LIKUNI PHALA QUANTITY DISTRIBUTED TO BENEFICIARIES
DHIS,CSB LIKUNI PHALA QUANTITY LOST
DHIS,CSB LIKUNI PHALA QUANTITY USED FOR COOKING DEMONSTRATION
DHIS,CSB LIKUNI PHALA REQUEST FOR THE FOLLOWING MONTH
DHIS,CSB LIKUNI PHALA STOCK ON THE FIRST DAY OF THE MONTH
DHIS,CSB LIKUNI PHALA STOCK ON THE LAST DAY OF THE MONTH
DHIS,CSB++ DELIVERIES RECEIVED IN THE MONTH
DHIS,CSB++ PACKAGING AND UNITS
DHIS,CSB++ QUANTITY DISTRIBUTED TO BENEFICIARIES
DHIS,CSB++ QUANTITY LOST
DHIS,CSB++ QUANTITY USED FOR COOKING DEMONSTRATION
DHIS,CSB++ REQUEST FOR THE FOLLOWING MONTH
DHIS,CSB++ STOCK ON THE FIRST DAY OF THE MONTH
DHIS,CSB++ STOCK ON THE LAST DAY OF THE MONTH
DHIS,CUMULATIVE ACTUAL EXPENDITURE PER SUB PROGRAMME TO DATE
DHIS,CUMULATIVE DRUG BUDGET
DHIS,CUMULATIVE DRUG EXPENDITURE
DHIS,D  OF THOSE ASSESSED # WITH OVERWEIGHT OBESE ANC PMTC
DHIS,D  OF THOSE ASSESSED # WITH OVERWEIGHT OBESE OPD
DHIS,D  OF THOSE ASSESSED # WITH OVERWEIGHT OBESE OTHER
DHIS,D  OF THOSE ASSESSED # WITH OVERWEIGHT OBESE PRE ART ART
DHIS,D  OF THOSE ASSESSED # WITH OVERWEIGHT OBESE TB
DHIS,DELIVERY BY TRAINED TBA
DHIS,DENTAL DECAY ADMISSION
DHIS,DENTAL DECAY INPATIENT DEATH
DHIS,DENTAL DECAY NEW
DHIS,DENTAL SURGEON
DHIS,DERMATOLOGIST
DHIS,DIABETES # OF COMMUNITY MEETINGS COMMEMORATION DAYS
DHIS,DIABETES # OF FILM SHOWS
DHIS,DIABETES # OF INTERACTIVE DRAMA SESSIONS
DHIS,DIABETES # OF ROAD SHOWS
DHIS,DIABETES DISTRICT HOSPITAL
DHIS,DIABETES FLIPCHART
DHIS,DIABETES HEALTH CENTRE
DHIS,DIABETES HEALTH POST
DHIS,DIABETES NONE
DHIS,DIABETES OTHER
DHIS,DIABETES POSTERS
DHIS,DIABETES RURAL COMM HOSP
DHIS,DIABETES TOTAL PROVIDED IN THIS QUARTER
DHIS,DIABETES TV DVDS
DHIS,DIARRHOEA DISEASES  NON BLOODY  ADMISSION
DHIS,DIARRHOEA DISEASES  NON BLOODY  INPATIENT DEATH
DHIS,DIARRHOEA DISEASES  NON BLOODY  UNDER 5 YEARS ADMISSION
DHIS,DIARRHOEA NON BLOODY 5 YEARS AND OLDER NEW
DHIS,DIPHTHERIA ADMISSION
DHIS,DIPHTHERIA INPATIENT DEATH
DHIS,DIPHTHERIA NEW
DHIS,DISABILITY AND MENTAL ILLNESS DISTRICT HOSPITAL
DHIS,DISABILITY AND MENTAL ILLNESS HEALTH CENTRE
DHIS,DISABILITY AND MENTAL ILLNESS HEALTH POST
DHIS,DISABILITY AND MENTAL ILLNESS OTHER
DHIS,DISABILITY AND MENTAL ILLNESS RURAL COMM HOSP
DHIS,DISABILITY AND MENTAL ILLNESS TOTAL# PROVIDED IN THIS QUARTER
DHIS,DISABILITY AND MENTAL ILLNESSES # OF COMMUNITY MEETINGS COMMEMORATION DAYS
DHIS,DISABILITY AND MENTAL ILLNESSES # OF FILM SHOWS
DHIS,DISABILITY AND MENTAL ILLNESSES # OF INTERACTIVE DRAMA SESSIONS
DHIS,DISABILITY AND MENTAL ILLNESSES # OF ROAD SHOWS
DHIS,DISABILITY AND MENTAL ILLNESSES DISTRICT HOSPITAL
DHIS,DISABILITY AND MENTAL ILLNESSES FLIPCHART
DHIS,DISABILITY AND MENTAL ILLNESSES HEALTH CENTRE
DHIS,DISABILITY AND MENTAL ILLNESSES HEALTH POST
DHIS,DISABILITY AND MENTAL ILLNESSES LEAFLETS
DHIS,DISABILITY AND MENTAL ILLNESSES NONE
DHIS,DISABILITY AND MENTAL ILLNESSES OTHER
DHIS,DISABILITY AND MENTAL ILLNESSES POSTERS
DHIS,DISABILITY AND MENTAL ILLNESSES RURAL COMM HOSP
DHIS,DISABILITY AND MENTAL ILLNESSES TOTAL PROVIDED IN THIS QUARTER
DHIS,DISABILITY AND MENTAL ILLNESSES TV DVDS
DHIS,DOCTORS IN POSTS
DHIS,DT ABSCESS
DHIS,DT BURKITTS LYMPHOMA
DHIS,DT CANCRUM ORIS NOMA
DHIS,DT CELLULITIS
DHIS,DT CLEFT PALATE & LIP
DHIS,DT CROWNS AND BRIDGES
DHIS,DT GINGIVAL EPULIS
DHIS,DT LUDWIGS ANGINA
DHIS,DT NUMBER OF DENTAL CARIES CASES
DHIS,DT NUMBER OF PERIODONTAL CASES
DHIS,DT NUMBER OF TOOTH EXTRACTIONS
DHIS,DT NUMBER OF TOOTH FEELINGS
DHIS,DT ORTHODONTICS
DHIS,DT OTHER DENTAL CONDITIONS
DHIS,DT PAROTITIS
DHIS,DT PATIENTS REFERRED IN
DHIS,DT PATIENTS REFERRED OUT
DHIS,DT SCALING POLISHING
DHIS,DT TB ADENITIS
DHIS,DT TONSILITIS
DHIS,DT TOTAL NUMBER OF PATIENTS ADMITTED
DHIS,DT TOTAL NUMBER OF PATIENTS SEEN
DHIS,DT TRAUMA CASES AVULSION
DHIS,DT TRAUMA CASES HARD TISSUE
DHIS,DT TRAUMA CASES MAXILLA
DHIS,DT TRAUMA CASES SOFT TISSUE
DHIS,DT TRAUMA CASES TEETH
DHIS,DYSENTERY ADMISSION
DHIS,DYSENTERY UNDER 5 YEARS ADMISSION
DHIS,DYSENTERY UNDER 5 YEARS INPATIENT DEATH
DHIS,EAR INFECTION ADMISSION
DHIS,EAR INFECTION INPATIENT DEATH
DHIS,EBOLA ADMISSION
DHIS,EBOLA INPATIENT DEATH
DHIS,EC CONFIRMED INFECTED
DHIS,EC CONFIRMED UNINFECTED
DHIS,EC CONTINUE FOLLOW UP
DHIS,EC DEFAULTED
DHIS,EC DIED
DHIS,EC DISCHARGED UNINFECTED
DHIS,EC NOT CONF NOT ELIGIBLE FOR ART
DHIS,EC NOT CONFIRMED PSHD ÀART
DHIS,EC NOT ON CPT
DHIS,EC ON CPT
DHIS,EC STARTED ART
DHIS,EC TOTAL REGISTERED IN BIRTH COHORT
DHIS,EC TRANSFERRED OUT
DHIS,EH AIR POLLUTION HOUSEHOLDS WITH SATISFACTORY MEASURES
DHIS,EH AIR POLLUTION NUMBER OF HOUSEHOLDS
DHIS,EH ATTACK RATE
DHIS,EH BOREHOLES IN DISTRICT
DHIS,EH BOREHOLES TESTED FOR FAECO CONTAMINATION
DHIS,EH BOREHOLES TESTED NEGATIVE
DHIS,EH CASE FATALITY RATE
DHIS,EH CASES IN OUTBREAK
DHIS,EH DEATHS
DHIS,EH DISASTERS OCCURRED
DHIS,EH DISASTERS RESPONDED TIMELY
DHIS,EH ENVIRONMENTAL HEALTH HAZARD
DHIS,EH ENVIRONMENTAL HEALTH HAZARD ASSESSED
DHIS,EH FOOD BORNE DISEASE OUTBREAK AND CONDITIONS
DHIS,EH FOOD BORNE DISEASE OUTBREAK AND CONDITIONS INVESTIGATED
DHIS,EH FOOD CONDEMNED
DHIS,EH FOOD ESTABLISHMENT COMPLYING MEDICAL EXAMINATION REQUIREMENTS
DHIS,EH FOOD HANDLERS IN DISTRICT
DHIS,EH FOOD HANDLERS ROUTINE MEDICAL EXAMINATION
DHIS,EH FOOD HANDLERS SATISFYING MEDICAL FITNESS
DHIS,EH FOOD INSPECTED
DHIS,EH FORMAL FOOD ESTABLISHMENTS IN DISTRICT
DHIS,EH FORMAL FOOD ESTABLISHMENTS INSPECTED
DHIS,EH FORMAL FOOD ESTABLISHMENTS SATISFACTORY
DHIS,EH FUNCTIONAL COORDINATION COMMITTEES
DHIS,EH HCWM CHAM FACILITIES
DHIS,EH HCWM CHAM FACILITIES COMPLYING
DHIS,EH HCWM HEALTH FACILITIES
DHIS,EH HCWM HEALTH FACILITIES COMPLYING
DHIS,EH HCWM MOH FACILITIES
DHIS,EH HCWM MOH FACILITIES COMPLYING
DHIS,EH HCWM PRIVATE FACILITIES
DHIS,EH HCWM PRIVATE FACILITIES COMPLYING
DHIS,EH HEALTH AUDIT PROJECTS ASSESSED
DHIS,EH HEALTH AUDIT PROJECTS PASSED
DHIS,EH HEALTH AUDIT PROJECTS UNDERWAY
DHIS,EH HEALTH FACILITIES IN DISTRICT
DHIS,EH HEALTH FACILITIES WITH ADEQUATE SANITORY FACILITIES
DHIS,EH HIA PROJECTS ASSESSED
DHIS,EH HIA PROJECTS PASSED
DHIS,EH HIA PROJECTS PROPOSED
DHIS,EH HIA PROJECTS PROPOSED OR UNDERWAY
DHIS,EH HOUSEHOLD SAMPLES TESTED COLIFORM NEGATIVE
DHIS,EH HOUSEHOLD SAMPLES TESTED FOR COLIFORMS
DHIS,EH HOUSEHOLD SAMPLES WITH RESIDUAL CHLORINE
DHIS,EH HOUSEHOLDS IN DISTRICT
DHIS,EH HOUSEHOLDS OWNING AND USING IMPROVED SANITORY FACILITIES
DHIS,EH HOUSEHOLDS SAMPLED
DHIS,EH HOUSEHOLDS WITH FUNCTIONING HANDWASHING FACILITIES WITH SOAP
DHIS,EH KIOSKS IN DISTRICT
DHIS,EH KIOSKS SHOWED PRESENCE OF CHLORINE
DHIS,EH KIOSKS TESTED FOR FAECO CONTAMINATION
DHIS,EH KIOSKS TESTED FOR RESIDIAL FREE CHLORINE
DHIS,EH KIOSKS TESTED NEGATIVE
DHIS,EH MARKETS IN DISTRICT
DHIS,EH MARKETS WITH SANITORY FACILITIES
DHIS,EH NEW SETTLEMENTS
DHIS,EH NEW SETTLEMENTS ASSESSED
DHIS,EH NEW SETTLEMENTS COMPLYING H&S GUIDELINES
DHIS,EH ODF VILLAGES DIVERSIFYING SANITORY TECHNOLOGY
DHIS,EH OUTBREAKS OCCURRED
DHIS,EH OUTBREAKS RESPONDED TIMELY AND PROMPTLY
DHIS,EH PORTS IMPLEMENTING ALL CORE CAPACITIES
DHIS,EH PORTS IN DISTRICT
DHIS,EH PROPER WASTED MANAGEMENT INDUSTRIES
DHIS,EH PROTECTED SHALLOW WELLS
DHIS,EH PROTECTED SHALLOW WELLS TESTED
DHIS,EH PROTECTED SHALLOW WELLS TESTED NEGATIVE
DHIS,EH PROTECTED SPRINGS
DHIS,EH PROTECTED SPRINGS TESTED
DHIS,EH PROTECTED SPRINGS TESTED NEGATIVE
DHIS,EH SATISFACTORY WORKPLACES
DHIS,EH VILLAGES DECLARED FOR ODF
DHIS,EH VILLAGES IMPLEMENTING SUSTAINABLE VECTOR CONTROL INTERVENTIONS
DHIS,EH VILLAGES IN DISTRICT
DHIS,EH VILLAGES LOST ODF STATUS
DHIS,EH VILLAGES TRIGGERED FOR LATRINE CONSTRUCTION
DHIS,EH WASTE MANAGEMENT IMPROVED INDUSTRIES
DHIS,EH WASTED MANAGEMENT INDUSTRIES INSPECTED
DHIS,EH WORKPLACES IN DISTRICT
DHIS,EH WORKPLACES INSPECTED
DHIS,EH ZOONOTIC CASE FATALITY RATE
DHIS,EH ZOONOTIC CASES
DHIS,EH ZOONOTIC DEATHS
DHIS,EH ZOONOTIC INCIDENCE
DHIS,"EHS  WASHE "
DHIS,ENROLLED MIDWIFE IN POST
DHIS,ENVIRONMENTAL HEALTH OFFICERS IN POST
DHIS,EPI 12 59 MONTHS MONTHLY TARGET OUTREACH
DHIS,EPI 12 59 MONTHS MONTHLY TARGET STATIC
DHIS,EPI 12 59 MONTHS NUMBER OF SUPPLEMENTED OUTREACH
DHIS,EPI 12 59 MONTHS NUMBER OF SUPPLEMENTED STATIC
DHIS,EPI 6 11 MONTHS MONTHLY TARGET OUTREACH
DHIS,EPI 6 11 MONTHS MONTHLY TARGET STATIC
DHIS,EPI 6 11 MONTHS NUMBER OF SUPPLEMENTED OUTREACH
DHIS,EPI 6 11 MONTHS NUMBER OF SUPPLEMENTED STATIC
DHIS,EPI ACUTE FLACCID PARALYSIS  AFP  NUMBER OF CASES
DHIS,EPI ACUTE FLACCID PARALYSIS  AFP  NUMBER OF CASES INVESTIGATED
DHIS,EPI AGE OVER 1 FULLY IMMUNIZED CHILDREN O REACH
DHIS,EPI AGE OVER 1 FULLY IMMUNIZED CHILDREN STATIC
DHIS,EPI AGE OVER 1 MEASLES O REACH
DHIS,EPI AGE OVER 1 MEASLES STATIC
DHIS,EPI AGE OVER 1 MONTHLY TARGET BCG OPV
DHIS,EPI AGE OVER 1 MONTHLY TARGET DPT HEPB HIB1 DPT HEPB HIB2 DPT HEPB HIB3
DHIS,EPI AGE OVER 1 MONTHLY TARGET FULLY IMMUNIZED CHILDREN
DHIS,EPI AGE OVER 1 MONTHLY TARGET MEASLES
DHIS,EPI AGE OVER 1 MONTHLY TARGET OPV1 OPV2 OPV3
DHIS,EPI AGE OVER 1 MONTHLY TARGET PCV1 PCV2 PCV3
DHIS,EPI AGE OVER 1 MONTHLY TARGET PROTECTION AT BIRTH
DHIS,EPI AGE OVER 1 MONTHLY TARGET ROTA
DHIS,EPI AGE OVER 1 PCV1 OUTREACH
DHIS,EPI AGE OVER 1 PCV2 O REACH
DHIS,EPI AGE OVER 1 PCV2 STATIC
DHIS,EPI AGE OVER 1 PCV3 O REACH
DHIS,EPI AGE OVER 1 PCV3 STATIC
DHIS,EPI AGE OVER PCV1 STATIC
DHIS,EPI AGE OVER1 PROTECTION AT BIRTH O REACH
DHIS,EPI AGE OVER1 PROTECTION AT BIRTH STATIC
DHIS,EPI AGE OVER1 ROTA1 O REACH
DHIS,EPI AGE OVER1 ROTA1 STATIC
DHIS,EPI AGE OVER1 ROTA2 O REACH
