Period,Region Name,District Name,Working Station,HRH Cadre,Position Title,Salary Grade,Establishment,Filled Positions,Variance
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Administration,Senior Laundry Supervisor,J,1,0,1
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Administration,Laundry Supervisor,K,1,0,1
MoH - 2015,Central West Region,Lilongwe District,Headquarters,Human Resources,Chief Human Resource Planning Officer,F,1,0,1
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Administration,Laundry Assistant,M,1,0,1
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Administration,Senior Head Laundry Attendant,N,2,3,-1
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Administration,Senior Laundry Attendant,O,6,0,6
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Administration,Catering Officer,I,1,1,0
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Administration,Director of Health & Social Services,E,1,0,1
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Administration,Principal Health Service Administrator,G,1,0,1
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Administration,Health Services Administrator,I,1,1,0
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Administration,Senior Maintenance Supervisor,J,1,0,1
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Allied Health Technical Services,Medical Engineering Technician,K,1,0,1
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Human Resources,Shorthand Typist/Stenographer,K,1,0,1
MoH - 2015,Central West Region,Lilongwe District,Headquarters,Human Resources,Chief Human Resource Development Officer,F,1,0,1
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Planning & Policy Development,Programmer,K,1,0,1
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Planning & Policy Development,Assistant Statistician,K,1,0,1
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Administration,Senior Ward Clerk,L,2,0,2
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Planning & Policy Development,Statistical Clerk,M,8,2,6
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Administration,Ward Clerk,M,10,2,8
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Human Resources,Copy Typist,M,2,2,0
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Administration,Senior Head Security Guard,N,3,0,3
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Administration,Senior Head Messenger,N,1,1,0
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Administration,Senior PBX Operator,N,1,0,1
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Administration,PBX Operator,O,3,2,1
MoH - 2015,Central West Region,Lilongwe District,Headquarters,Human Resources,Chief Human Resource Management Officer,F,1,0,1
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Administration,Head Security Guard,O,5,6,-1
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Attendants,Incinerator Attendant,O,2,2,0
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Administration,Messenger,P,2,0,2
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Administration,Security Guard,P,12,9,3
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Accounting,Senior Accountant,H,1,0,1
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Accounting,Accountant,I,1,0,1
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Accounting,Senior Assistant Accountant,J,1,0,1
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Accounting,Assistant Accountant,K,2,0,2
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Accounting,Senior Accounts Assistant,L,2,0,2
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Accounting,Accounts Assistant,M,3,2,1
MoH - 2015,Central West Region,Lilongwe District,Headquarters,Allied Health Professionals,Deputy Director of Clinical and Population Services,HE,1,0,1
MoH - 2015,Central West Region,Lilongwe District,Headquarters,Human Resources,Principal Human Resource Development Officer,G,1,1,0
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Administration,Procurement Officer,I,1,0,1
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Administration,Senior Stores Supervisor,J,1,1,0
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Administration,Stores Supervisor,K,1,0,1
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Administration,Stores Clerk,M,2,0,2
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Administration,Senior Stores Clerk,L,1,1,0
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Administration,Assistant Procurement Officer,K,1,0,1
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Preventive Health Services,Senior Assistant Environmental Health Officer,HJ,3,1,2
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Preventive Health Services,Assistant Environmental Health Officer,HK,3,2,1
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Preventive Health Services,Chief Preventive Health Officer,HF,1,0,1
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Preventive Health Services,Principal Environmental Health Officer,HG,1,0,1
MoH - 2015,Central West Region,Lilongwe District,Headquarters,Human Resources,Principal Human Resource Management Officer,G,2,0,2
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Preventive Health Services,Environmental Health Officer,HI,2,2,0
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Attendants,Head Hospital Attendant,HO,26,9,17
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Attendants,Senior Head Hospital Attendant,HN,15,16,-1
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Nursing Services,Nurse Auxiliary,HM,9,5,4
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Nursing Services,Senior Nurse Auxiliary,HL,15,0,15
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Nursing Services,Nurse Technician,HK,92,31,61
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Nursing Services,Senior Nurse Technician,HJ,29,1,28
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Nursing Services,Nursing Officer,HI,17,7,10
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Nursing Services,Senior Nursing Officer,HH,5,1,4
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Allied Health Professionals,Medical Technician (for Med Ass),HK,8,0,8
MoH - 2015,Central West Region,Lilongwe District,Headquarters,Human Resources,Principal Human Resource Planning Officer,G,1,0,1
MoH - 2015,Northern Region,Karonga District,Karonga District Hospital,Allied Health Professionals,Medical Assistant,HL,16,7,9
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Administration,Director of Health & Social Services,E,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Preventive Health Services,Chief Preventive Health Officer,HF,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Preventive Health Services,Principal Environmental Health Officer,HG,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Medical Officers,Chief Medical Officer,HF,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Administration,Principal Health Service Administrator,G,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Medical Officers,Principal Medical Officer,HG,1,0,1
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Human Resources,Copy Typist,M,2,2,0
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Administration,Director of Health & Social Services,E,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Nursing Services,Principal Nursing Officer,HG,1,0,1
MoH - 2015,Central West Region,Lilongwe District,Headquarters,Human Resources,Human Resource Development Officer,I,1,1,0
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Preventive Health Services,Environmental Health Officer,HI,2,4,-2
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Accounting,Senior Accountant,H,1,0,1
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Attendants,Head Hospital Attendant,HO,26,24,2
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Administration,Head Security Guard,O,5,0,5
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Allied Health Professionals,Senior Clinical Officer,HH,4,0,4
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Administration,Health Services Administrator,I,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Nursing Services,Senior Community Health Officer,HH,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Preventive Health Services,Senior Health Education Officer,HI,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Human Resources,Senior Human Resource Management Officer,H,1,0,1
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Human Resources,Human Resource Management Officer,I,1,1,0
MoH - 2015,Central West Region,Lilongwe District,Headquarters,Human Resources,Human Resource Management Officer,I,1,3,-2
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Medical Officers,Senior Medical Officer,HH,4,0,4
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Nursing Services,Senior Nursing Officer,HH,5,0,5
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Accounting,Accountant,I,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Administration,Catering Officer,I,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Pharmacy,Chief Pharmacy Technician,HI,3,0,3
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Allied Health Professionals,Clinical Officer,HI,12,0,12
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Attendants,Incinerator Attendant,O,2,2,0
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Attendants,Kitchen Attendant,P,6,6,0
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Administration,Laundry Assistant,M,1,0,1
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Administration,Laundry Supervisor,K,1,0,1
MoH - 2015,Central West Region,Lilongwe District,Headquarters,Human Resources,Human Resource Planning Officer,I,1,1,0
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Nursing Services,Community Health Nurse,HI,1,0,1
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Allied Health Professionals,Medical Assistant,HL,16,10,6
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Allied Health Professionals,Dental Officer,HI,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Preventive Health Services,Disease Control and Surveillance Officer,HI,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Preventive Health Services,Environmental Health Officer,HI,2,0,2
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Allied Health Technical Services,Medical Engineering Technician,K,1,0,1
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Allied Health Professionals,Medical Technician (for Med Ass),HK,8,0,8
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Administration,Messenger,P,2,0,2
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Administration,Mortuary Assistant,M,2,0,2
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Administration,Health Services Administrator,I,1,0,1
MoH - 2015,Central West Region,Lilongwe District,Headquarters,Planning & Policy Development,Director of Planning,D,1,1,0
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Administration,Mortuary Attendant,O,2,2,0
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Human Resources,Human Resource Management Officer,I,1,0,1
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Nursing Services,Nurse Auxiliary,HM,14,10,4
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Allied Health Technical Services,Laboratory Officer,HI,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Nursing Services,Nursing Officer,HI,17,1,16
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Nursing Services,Nurse Technician,HK,92,34,58
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Nursing Services,Nursing Officer,HI,17,6,11
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Allied Health Professionals,Nutrition Officer,I,1,0,1
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Administration,PBX Operator,O,3,3,0
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Preventive Health Services,Principal Environmental Health Officer,HG,1,1,0
MoH - 2015,Central West Region,Lilongwe District,Headquarters,Planning & Policy Development,Deputy Director of Planning,E,2,2,0
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Administration,Principal Health Service Administrator,G,1,0,1
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Medical Officers,Principal Medical Officer,HG,1,0,1
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Nursing Services,Principal Nursing Officer,HG,1,1,0
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Allied Health Professionals,Optometrist,I,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Pharmacy,Pharmacist,HI,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Administration,Procurement Officer,I,1,0,1
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Administration,Procurement Officer,I,1,0,1
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Planning & Policy Development,Programmer,K,1,1,0
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Administration,Security Guard,P,12,6,6
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Accounting,Senior Accountant,H,1,0,1
MoH - 2015,Central West Region,Lilongwe District,Headquarters,Planning & Policy Development,Chief Economist,F,1,1,0
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Allied Health Technical Services,Radiographer,HI,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Allied Health Technical Services,Rehabilitation Officer,HI,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Accounting,Senior Assistant Accountant,J,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Nursing Services,Senior Assistant Community Health Officer,HJ,2,0,2
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Accounting,Senior Accounts Assistant,L,2,1,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Preventive Health Services,Senior Assistant Disiease Control Officer,HJ,2,0,2
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Accounting,Senior Assistant Accountant,J,1,1,0
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Preventive Health Services,Senior Assistant Environmental Health Officer,HJ,3,0,3
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Preventive Health Services,Senior Assistant Environmental Health Officer,HJ,3,3,0
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Human Resources,Senior Assistant Human Resource Management Officer,J,1,1,0
MoH - 2015,Central West Region,Lilongwe District,Headquarters,Planning & Policy Development,Principal Economist,G,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Preventive Health Services,Senior Assistant Health Education Officer,HJ,1,0,1
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Human Resources,Senior Clerical Officer,L,1,2,-1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Human Resources,Senior Assistant Human Resource Management Officer,J,1,0,1
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Allied Health Professionals,Senior Clinical Officer,HH,4,1,3
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Allied Health Technical Services,Senior Laboratory Technician,HJ,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Allied Health Technical Services,Senior Assistant Rehabilitation Officer,HJ,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Allied Health Professionals,Senior Clinical Technician,HJ,13,0,13
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Administration,Senior Laundry Supervisor,J,1,0,1
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Attendants,Senior Head Hospital Attendant,HN,15,13,2
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Administration,Senior Head Laundry Attendant,N,2,0,2
MoH - 2015,Central West Region,Lilongwe District,Headquarters,Allied Health Professionals,Chief Reproductive Health Officer,HF,1,0,1
MoH - 2015,Central West Region,Lilongwe District,Headquarters,Planning & Policy Development,Economist,I,2,4,-2
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Administration,Senior Head Messenger,N,1,1,0
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Administration,Senior Head Security Guard,N,3,3,0
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Human Resources,Senior Human Resource Management Officer,H,1,0,1
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Administration,Senior Laundry Attendant,O,6,0,6
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Administration,Senior Laundry Supervisor,J,1,0,1
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Administration,Senior Maintenance Supervisor,J,1,1,0
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Medical Officers,Senior Medical Officer,HH,4,2,2
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Nursing Services,Senior Nurse Auxiliary,HL,15,0,15
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Administration,Senior Maintenance Supervisor,J,1,0,1
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Nursing Services,Senior Nurse Technician,HJ,30,1,29
MoH - 2015,Central West Region,Lilongwe District,Headquarters,Administration,Chief Monitoring Officer,F,1,0,1
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Nursing Services,Senior Nursing Officer,HH,5,4,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Nursing Services,Senior Nurse Technician,HJ,29,0,29
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Administration,Senior PBX Operator,N,1,0,1
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Administration,Senior Stores Clerk,L,1,0,1
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Administration,Senior Stores Supervisor,J,1,0,1
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Administration,Senior Ward Clerk,L,2,0,2
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Human Resources,Shorthand Typist/Stenographer,K,1,0,1
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Planning & Policy Development,Statistical Clerk,M,8,5,3
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Pharmacy,Senior Pharmacy Technician,HJ,2,0,2
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Administration,Stores Clerk,M,2,1,1
MoH - 2015,South East Region,Zomba District,Zomba Mental Hospital,Allied Health Technical Services,Rehabilitation Officer (Occupational Therapy),HI,1,0,1
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Administration,Stores Supervisor,K,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Allied Health Technical Services,Senior Radiography Technician,HJ,1,0,1
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Administration,Ward Clerk,M,10,5,5
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Administration,Senior Stores Supervisor,J,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Accounting,Assistant Accountant,K,2,0,2
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Nursing Services,Assistant Community Health Officer,HK,4,0,4
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Preventive Health Services,Assistant Environmental Health Officer,HK,3,0,3
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Human Resources,Assistant Human Resource Management Officer,K,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Administration,Assistant Procurement Officer,K,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Allied Health Technical Services,Assistant Rehabilitation Officer,HK,3,0,3
MoH - 2015,South East Region,Zomba District,Zomba Mental Hospital,Allied Health Technical Services,Assistant Rehabilitation Officer,HK,2,1,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Planning & Policy Development,Assistant Statistician,K,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Administration,Catering Supervisor,K,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Allied Health Professionals,Clinical Technician,HK,36,0,36
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Allied Health Technical Services,Dental Technician,HK,3,0,3
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Allied Health Technical Services,Laboratory Technician,HK,4,0,4
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Administration,Laundry Supervisor,K,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Allied Health Technical Services,Mechanical Engineering Technician,K,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Allied Health Professionals,Medical Technician (for Med Ass),HK,8,0,8
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Nursing Services,Nurse Technician,HK,92,1,91
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Pharmacy,Pharmacy Technician,HK,1,0,1
MoH - 2015,South East Region,Zomba District,Zomba Mental Hospital,Allied Health Technical Services,Senior Rehabilitation Assistant,HL,4,0,4
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Planning & Policy Development,Programmer,K,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Allied Health Technical Services,Radiography Technician,HK,3,0,3
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Human Resources,Shorthand Typist/Stenographer,K,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Administration,Stores Supervisor,K,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Allied Health Technical Services,Laboratory Assistant,HL,2,0,2
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Allied Health Professionals,Medical Assistant,HL,16,0,16
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Accounting,Senior Accounts Assistant,L,2,0,2
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Human Resources,Senior Clerical Officer,L,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Preventive Health Services,Diesase Control and Surveillance Assistant,HM,200,0,200
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Nursing Services,Senior Home Craft Worker,L,1,0,1
MoH - 2015,South East Region,Zomba District,Zomba Mental Hospital,Allied Health Technical Services,Rehabilitation Assistant,HM,10,0,10
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Nursing Services,Senior Nurse Auxiliary,HL,15,0,15
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Allied Health Technical Services,Senior Rehabilitation Assistant,HL,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Administration,Senior Stores Clerk,L,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Administration,Senior Ward Clerk,L,2,0,2
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Accounting,Accounts Assistant,M,3,0,3
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Administration,Bricklayer,M,2,0,2
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Administration,Carpenter/Joiner,M,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Administration,Catering Assistant,M,2,0,2
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Human Resources,Clerical Officer,M,2,0,2
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Human Resources,Copy Typist,M,2,0,2
MoH - 2015,South East Region,Zomba District,Zomba Mental Hospital,Medical Officers,Psychiatrist,HF,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Preventive Health Services,Senior Disease Control and Surveillance Assistant,HL,50,0,50
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Administration,Electrician,M,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Nursing Services,Home Craft Worker,M,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Administration,Laundry Assistant,M,1,1,0
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Administration,Mortuary Assistant,M,2,0,2
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Nursing Services,Nurse Auxiliary,HM,25,0,25
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Administration,Painter,M,2,0,2
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Pharmacy,Pharmacy Assistant,HM,2,0,2
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Administration,Plumber,M,2,0,2
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Allied Health Technical Services,Rehabilitation Assistant,HM,1,0,1
MoH - 2015,South East Region,Zomba District,Zomba Mental Hospital,Allied Health Professionals,Principal Clinical Officer,HG,1,1,0
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Planning & Policy Development,Statistical Clerk,M,8,0,8
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Administration,Stores Clerk,M,2,0,2
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Administration,Tailor,M,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Administration,Ward Clerk,M,10,0,10
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Administration,Motor Vehicle Driver,N,7,0,7
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Attendants,Senior Head Hospital Attendant,HN,15,0,15
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Administration,Senior Head Messenger,N,1,0,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Administration,Senior Head Security Guard,N,3,0,3
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Administration,Painter,M,2,1,1
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Administration,Senior PBX Operator,N,1,0,1
MoH - 2015,South East Region,Zomba District,Zomba Mental Hospital,Medical Officers,Medical Officer,HH,1,1,0
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Administration,Bricklayer,M,2,1,1
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Administration,Plumber,M,2,0,2
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Administration,Tailor,M,1,0,1
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Administration,Carpenter/Joiner,M,1,1,0
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Administration,Electrician,M,1,1,0
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Attendants,Head Hospital Attendant,HO,26,0,26
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Administration,Motor Vehicle Driver,N,11,7,4
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Administration,Head Security Guard,O,5,0,5
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Attendants,Incinerator Attendant,O,2,0,2
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Administration,Ground Labourer,R,12,13,-1
MoH - 2015,South East Region,Zomba District,Zomba Mental Hospital,Allied Health Professionals,Clinical Officer,HI,1,1,0
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Administration,Mortuary Attendant,O,2,0,2
MoH - 2015,Northern Region,Rumphi District,Rumphi District Hospital,Administration,PBX Operator,O,3,0,3
MoH - 2015,Central East Region,Salima District,Salima District Hospital,Administration,Head Cook,P,1,1,0
