ID NUMBER,DH/DM,GOAL,ELEMENT,DECISION,SOURCE,2.02.e How often,ELEMENT DESCRIPTION,DECISION DESCRIPTION,SOURCE DESCRIPTION,Level
2207A,DM,8A,TEST VIRAL,FACPERFORM,REG EID,MONTH Q,Test Viral Load,Facility Performance,Early Infant Diagnosis Register,District
2207A,DM,8A,TEST VIRAL,FACPERFORM,REG VIRAL,MONTH Q,Test Viral Load,Facility Performance,Viral Load Register,District
2207A,DM,8A,TEST VIRAL,FACPERFORM,RPT HMIS,MONTH Q,Test Viral Load,Facility Performance,HMIS Report,District
2207A,DM,8A,TEST EID,FACPERFORM,REG EID,MONTH Q,Test EID,Facility Performance,Early Infant Diagnosis Register,District
2207A,DM,8A,TEST EID,FACPERFORM,REG VIRAL,MONTH Q,Test EID,Facility Performance,Viral Load Register,District
2207A,DM,8A,TEST EID,FACPERFORM,RPT HMIS,MONTH Q,Test EID,Facility Performance,HMIS Report,District
2207A,DM,9A,DRUG SUPPLY,DRUG SUPPLY,FORM HTC,MONTH Q,Drug Supply,Drug Supply,HTC Form,District
2207A,DM,9A,DRUG SUPPLY,DRUG SUPPLY,REG HTC,MONTH Q,Drug Supply,Drug Supply,HIV Testing and Counseling Register,District
2207A,DM,9A,DRUG SUPPLY,DRUG SUPPLY,FORM HTC,MONTH Q,Drug Supply,Drug Supply,HTC Form,District
2207A,DM,9A,DRUG SUPPLY,DRUG SUPPLY,REG HTC,MONTH Q,Drug Supply,Drug Supply,HIV Testing and Counseling Register,District
2301A,DM,1A,DRUG SUPPLY,PRIORITIZE RESOURCE,PER COOR ART,ASNEED,Drug Supply,Resource Prioritization,ART Coordinator,District
2301A,DM,1A,DRUG SUPPLY,PRIORITIZE RESOURCE,PER COOR ART,ASNEED,Drug Supply,Resource Prioritization,ART Coordinator,District
2301A,DM,1A,DRUG SUPPLY,PRIORITIZE RESOURCE,OFF PHARM,ASNEED,Drug Supply,Resource Prioritization,Pharmacy,District
2301A,DM,1A,DRUG SUPPLY,PRIORITIZE RESOURCE,OFF PHARM,ASNEED,Drug Supply,Resource Prioritization,Pharmacy,District
2301A,DM,1A,DRUG SUPPLY,PRIORITIZE RESOURCE,PER FACINCHGE,ASNEED,Drug Supply,Resource Prioritization,Facility in Chart,District
2301A,DM,1A,DRUG SUPPLY,PRIORITIZE RESOURCE,PER FACINCHGE,ASNEED,Drug Supply,Resource Prioritization,Facility in Chart,District
2301A,DM,2A,TEST,NONE,PARTNER MSF,ASNEED,Number of individuals tested,Not Transmitted,Doctors without Borders,District
2301A,DM,4A,DEFAULT,PROGPERFORM,PARTNER MSF,QUARTERLY,Defaulters,Program Performance,Doctors without Borders,District
2301A,DM,5A,VMMC CIRCUMCISED,PROGPERFORM,PER COOR,MONTHLY,VMMC Circumcised,Program Performance,Coordinator,District
2301A,DM,5A,VMMC CIRCUMCISED,PROGPERFORM,PARTNER PSI,MONTHLY,VMMC Circumcised,Program Performance,Partner PSI,District
2301A,DM,7A,NA,PROGTARGET,MI,MI,Not Available,Program Targeting,Missing Information,District
2301A,DM,8A,NA,DONTKNOW,NA,NA,Not Available,Don't Know,Not Available,District
2302A,DM,1A,MI,FOLLOWUP,MI,MI,Missing Information,Default Followup,Missing Information,District
2302A,DM,1A,MI,PRIORITIZE RESOURCE,Mi,Mi,Missing Information,Resource Prioritization,Missing Information,District
2302A,DM,2A,TEST HIV,GAP,PER COOR ART,QUARTERLY,Test HIV,Identify Gap,ART Coordinator,District
2302A,DM,2A,TEST HIV,GAP,PER COOR ART,QUARTERLY,Test HIV,Identify Gap,ART Coordinator,District
2302A,DM,2A,TEST HIV,GAP,PER COOR ART,QUARTERLY,Test HIV,Identify Gap,ART Coordinator,District
2302A,DM,2A,TEST HIV,GAP,PER COOR ART,QUARTERLY,Test HIV,Identify Gap,ART Coordinator,District
2302A,DM,2A,TEST HIV,TREND,PER COOR ART,QUARTERLY,Test HIV,Identify Trend,ART Coordinator,District
2302A,DM,2A,TEST HIV,TREND,PER COOR ART,QUARTERLY,Test HIV,Identify Trend,ART Coordinator,District
2302A,DM,2A,TEST HIV,TREND,PER COOR ART,QUARTERLY,Test HIV,Identify Trend,ART Coordinator,District
2302A,DM,2A,TEST HIV,TREND,PER COOR ART,QUARTERLY,Test HIV,Identify Trend,ART Coordinator,District
2302A,DM,2A,TEST HIVNEG,GAP,PER COOR ART,QUARTERLY,Test HIV Negative,Identify Gap,ART Coordinator,District
2302A,DM,2A,TEST HIVNEG,GAP,PER COOR ART,QUARTERLY,Test HIV Negative,Identify Gap,ART Coordinator,District
2302A,DM,2A,TEST HIVNEG,GAP,PER COOR ART,QUARTERLY,Test HIV Negative,Identify Gap,ART Coordinator,District
2302A,DM,2A,TEST HIVNEG,GAP,PER COOR ART,QUARTERLY,Test HIV Negative,Identify Gap,ART Coordinator,District
2302A,DM,2A,TEST HIVNEG,TREND,PER COOR ART,QUARTERLY,Test HIV Negative,Identify Trend,ART Coordinator,District
2302A,DM,2A,TEST HIVNEG,TREND,PER COOR ART,QUARTERLY,Test HIV Negative,Identify Trend,ART Coordinator,District
2302A,DM,2A,TEST HIVNEG,TREND,PER COOR ART,QUARTERLY,Test HIV Negative,Identify Trend,ART Coordinator,District
2302A,DM,2A,TEST HIVNEG,TREND,PER COOR ART,QUARTERLY,Test HIV Negative,Identify Trend,ART Coordinator,District
2302A,DM,2A,TEST HIVPOS,GAP,PER COOR ART,QUARTERLY,Test HIV Positive,Identify Gap,ART Coordinator,District
2302A,DM,2A,TEST HIVPOS,GAP,PER COOR ART,QUARTERLY,Test HIV Positive,Identify Gap,ART Coordinator,District
2302A,DM,2A,TEST HIVPOS,GAP,PER COOR ART,QUARTERLY,Test HIV Positive,Identify Gap,ART Coordinator,District
2302A,DM,2A,TEST HIVPOS,GAP,PER COOR ART,QUARTERLY,Test HIV Positive,Identify Gap,ART Coordinator,District
2302A,DM,2A,TEST HIVPOS,TREND,PER COOR ART,QUARTERLY,Test HIV Positive,Identify Trend,ART Coordinator,District
2302A,DM,2A,TEST HIVPOS,TREND,PER COOR ART,QUARTERLY,Test HIV Positive,Identify Trend,ART Coordinator,District
2302A,DM,2A,TEST HIVPOS,TREND,PER COOR ART,QUARTERLY,Test HIV Positive,Identify Trend,ART Coordinator,District
2302A,DM,2A,TEST HIVPOS,TREND,PER COOR ART,QUARTERLY,Test HIV Positive,Identify Trend,ART Coordinator,District
2302A,DM,3A,TEST,DESIGN,PER COOR ART,QUARTERLY,Number of individuals tested,Program Design,ART Coordinator,District
2302A,DM,3A,TEST,DESIGN,PER COOR ART,QUARTERLY,Number of individuals tested,Program Design,ART Coordinator,District
2302A,DM,3A,TEST,DESIGN,PER COOR ART,QUARTERLY,Number of individuals tested,Program Design,ART Coordinator,District
2302A,DM,3A,TEST,DESIGN,PARTNER MSF,QUARTERLY,Number of individuals tested,Program Design,Doctors without Borders,District
2302A,DM,3A,TEST,DESIGN,PARTNER MSF,QUARTERLY,Number of individuals tested,Program Design,Doctors without Borders,District
2302A,DM,3A,TEST,DESIGN,PARTNER MSF,QUARTERLY,Number of individuals tested,Program Design,Doctors without Borders,District
2302A,DM,3A,REFER,DESIGN,PER COOR ART,QUARTERLY,Referral,Program Design,ART Coordinator,District
2302A,DM,3A,REFER,DESIGN,PER COOR ART,QUARTERLY,Referral,Program Design,ART Coordinator,District
2302A,DM,3A,REFER,DESIGN,PER COOR ART,QUARTERLY,Referral,Program Design,ART Coordinator,District
2302A,DM,3A,REFER,DESIGN,PARTNER MSF,QUARTERLY,Referral,Program Design,Doctors without Borders,District
2302A,DM,3A,REFER,DESIGN,PARTNER MSF,QUARTERLY,Referral,Program Design,Doctors without Borders,District
2302A,DM,3A,REFER,DESIGN,PARTNER MSF,QUARTERLY,Referral,Program Design,Doctors without Borders,District
2302A,DM,3A,TREAT,DESIGN,PER COOR ART,QUARTERLY,Patients Treated,Program Design,ART Coordinator,District
2302A,DM,3A,TREAT,DESIGN,PER COOR ART,QUARTERLY,Patients Treated,Program Design,ART Coordinator,District
2302A,DM,3A,TREAT,DESIGN,PER COOR ART,QUARTERLY,Patients Treated,Program Design,ART Coordinator,District
2302A,DM,3A,TREAT,DESIGN,PARTNER MSF,QUARTERLY,Patients Treated,Program Design,Doctors without Borders,District
2302A,DM,3A,TREAT,DESIGN,PARTNER MSF,QUARTERLY,Patients Treated,Program Design,Doctors without Borders,District
2302A,DM,3A,TREAT,DESIGN,PARTNER MSF,QUARTERLY,Patients Treated,Program Design,Doctors without Borders,District
2302A,DM,3A,SUPPORT,DESIGN,PER COOR ART,QUARTERLY,Joined Support Group,Program Design,ART Coordinator,District
2302A,DM,3A,SUPPORT,DESIGN,PER COOR ART,QUARTERLY,Joined Support Group,Program Design,ART Coordinator,District
2302A,DM,3A,SUPPORT,DESIGN,PER COOR ART,QUARTERLY,Joined Support Group,Program Design,ART Coordinator,District
2302A,DM,3A,SUPPORT,DESIGN,PARTNER MSF,QUARTERLY,Joined Support Group,Program Design,Doctors without Borders,District
2302A,DM,3A,SUPPORT,DESIGN,PARTNER MSF,QUARTERLY,Joined Support Group,Program Design,Doctors without Borders,District
2302A,DM,3A,SUPPORT,DESIGN,PARTNER MSF,QUARTERLY,Joined Support Group,Program Design,Doctors without Borders,District
2302A,DM,4A,DEFAULT,DESIGN,PER COOR ART,MI,Defaulters,Program Design,ART Coordinator,District
2302A,DM,4A,DEFAULT,DESIGN,PER COOR ART,MI,Defaulters,Program Design,ART Coordinator,District
2302A,DM,4A,DEFAULT,DESIGN,PER COOR ART,MI,Defaulters,Program Design,ART Coordinator,District
2302A,DM,4A,DEFAULT,DESIGN,PER COOR ART,MI,Defaulters,Program Design,ART Coordinator,District
2302A,DM,5A,UPTAKE,BARRIER,PER COOR VMMC,QUARTERLY,Increase Uptake/Demand Creation,Address Barrier,VMMC Cooordinator,District
2302A,DM,6A,MALEINVOLVE,NONE,PER COOR PMTCT,QUARTERLY,Level Of Male Involvement,Not Transmitted,PMTCT Coordinator,District
2302A,DM,6A,TEST HIVPOS MOTHER,NONE,PER COOR PMTCT,QUARTERLY,Mothers Tested HIV Positive,Not Transmitted,PMTCT Coordinator,District
2302A,DM,7A,PROGCOVER,PROGCOVER,RPT CBO,MONTHLY,Program Coverage,Program Coverage,CBO Report,District
2302A,DM,7A,PROGCOVER,PROGCOVER,PER COOR HIV,MONTHLY,Program Coverage,Program Coverage,HIV Coordinator,District
2302A,DM,7A,PROGCOVER,PROGCOVER,PARTNER MSF,MONTHLY,Program Coverage,Program Coverage,Doctors without Borders,District
2302A,DM,7A,PREVALENCE,PROGCOVER,RPT CBO,MONTHLY,Prevalence Rate HIV,Program Coverage,CBO Report,District
2302A,DM,7A,PREVALENCE,PROGCOVER,PARTNER MSF,MONTHLY,Prevalence Rate HIV,Program Coverage,Doctors without Borders,District
2302A,DM,7A,PREVALENCE,PROGCOVER,PER COOR HIV,MONTHLY,Prevalence Rate HIV,Program Coverage,HIV Coordinator,District
2302A,DM,9A,MI,JOINTSUP,MI,MI,Missing Information,Joint Supervision,Missing Information,District
2302A,DM,9A,MI,STAKEENGAGE,MI,MI,Missing Information,Stakeholder Engagement,Missing Information,District
2303A,DH,1A,MI,0,REG ART,MONTHLY,Missing Information,0,Anti-Retroviral Treatment Register,District
2303A,DH,1A,MI,0,REG ART,MONTHLY,Missing Information,0,Anti-Retroviral Treatment Register,District
2303A,DH,1A,MI,0,REG ART,MONTHLY,Missing Information,0,Anti-Retroviral Treatment Register,District
2303A,DH,1A,MI,0,CARD STOCK,MONTHLY,Missing Information,0,Stock Card,District
2303A,DH,1A,MI,0,CARD STOCK,MONTHLY,Missing Information,0,Stock Card,District
2303A,DH,1A,MI,0,CARD STOCK,MONTHLY,Missing Information,0,Stock Card,District
2303A,DH,2A,TEST HIV,0,REG HTC,MONTHLY,Test HIV,0,HIV Testing and Counseling Register,District
2303A,DH,2A,TEST HIV,0,REG HTC,MONTHLY,Test HIV,0,HIV Testing and Counseling Register,District
2303A,DH,2A,TEST HIVPOS,0,REG HTC,MONTHLY,Test HIV Positive,0,HIV Testing and Counseling Register,District
2303A,DH,2A,TEST HIVPOS,0,REG HTC,MONTHLY,Test HIV Positive,0,HIV Testing and Counseling Register,District
2303A,DH,2A,TEST HIVNEG,0,REG HTC,MONTHLY,Test HIV Negative,0,HIV Testing and Counseling Register,District
2303A,DH,2A,TEST HIVNEG,0,REG HTC,MONTHLY,Test HIV Negative,0,HIV Testing and Counseling Register,District
2303A,DH,2A,INIT ART,0,REG HTC,MONTHLY,Initiated on ART,0,HIV Testing and Counseling Register,District
2303A,DH,2A,INIT ART,0,REG HTC,MONTHLY,Initiated on ART,0,HIV Testing and Counseling Register,District
2303A,DH,3A,TREAT ART,0,REG ART,MONTHLY,Treatment ART,0,Anti-Retroviral Treatment Register,District
2303A,DH,3A,TREAT ART,0,REG ART,MONTHLY,Treatment ART,0,Anti-Retroviral Treatment Register,District
2303A,DH,4A,DONTKNOW,0,DONTKNOW,NA,Don't Know,0,Don't Know,District
2303A,DH,5A,VMMC CIRCUMCISED,0,REG OPD,MI,VMMC Circumcised,0,Out Patients Department Register,District
2303A,DH,5A,VMMC AGE,0,REG OPD,MI,VMMC Age,0,Out Patients Department Register,District
2303A,DH,5A,VMMC RELIGION,0,REG OPD,MI,VMMC Religion,0,Out Patients Department Register,District
2303A,DH,6A,TEST HIV PREGNANT,0,REG ANC,QUART BI,Number of pregnant women tested for HIV,0,Antenatal Care Register,District
2303A,DH,6A,TEST HIV PREGNANT,0,REG ANC,QUART BI,Number of pregnant women tested for HIV,0,Antenatal Care Register,District
2303A,DH,6A,INIT ART,0,REG ANC,QUART BI,Initiated on ART,0,Antenatal Care Register,District
2303A,DH,6A,INIT ART,0,REG ANC,QUART BI,Initiated on ART,0,Antenatal Care Register,District
2303A,DH,6A,HIVEXPO INFANT,0,REG ANC,QUART BI,Number of infants exposed to HIV,0,Antenatal Care Register,District
2303A,DH,6A,HIVEXPO INFANT,0,REG ANC,QUART BI,Number of infants exposed to HIV,0,Antenatal Care Register,District
2303A,DH,6A,DEFAULT,0,REG ANC,QUART BI,Defaulters,0,Antenatal Care Register,District
2303A,DH,6A,DEFAULT,0,REG ANC,QUART BI,Defaulters,0,Antenatal Care Register,District
2303A,DH,7A,DRUG CONSUMP,0,MI,QUART BI,Drug Consumption,0,Missing Information,District
2305A,DM,1A,TREAT,DRUG SUPPLY,PARTNER MSF,QUARTERLY,Patients Treated,Drug Supply,Doctors without Borders,District
2305A,DM,2A,TEST HIVPOS INIT ART,TREATINIT,OFF HTC,MONTHLY,Number of individuals who tested HIV positive who initiate ART,Treatment Initiation,HIV Testing and Counseling Office,District
2305A,DM,2A,TEST HIVPOS INIT ART,TREATINIT,OFF HTC,MONTHLY,Number of individuals who tested HIV positive who initiate ART,Treatment Initiation,HIV Testing and Counseling Office,District
2305A,DM,3A,REFER,REFER,REG ART,QUARTERLY,Referral,Referral,Anti-Retroviral Treatment Register,District
2305A,DM,3A,REFER,REFER,PARTNER MSF,QUARTERLY,Referral,Referral,Doctors without Borders,District
2305A,DM,4A,DEFAULT,TREATINIT,REG BOOK,QUARTERLY,Defaulters,Treatment Initiation,Booking Register,District
2305A,DM,4A,DEFAULT,FOLLOWUP,REG BOOK,QUARTERLY,Defaulters,Default Followup,Booking Register,District
2305A,DM,5A,MI,UPTAKE,MI,MI,Missing Information,Increase Uptake/Demand Creation,Missing Information,District
2305A,DM,6A,TEST HIV MOTHER,TREATINIT,REG HTC,MONTHLY,Number of mothers tested for HIV,Treatment Initiation,HIV Testing and Counseling Register,District
2305A,DM,6A,TEST HIV MOTHER,TREATINIT,REG HTC,MONTHLY,Number of mothers tested for HIV,Treatment Initiation,HIV Testing and Counseling Register,District
2305A,DM,6A,TEST HIV MOTHER,TREATINIT,REG HTC,MONTHLY,Number of mothers tested for HIV,Treatment Initiation,HIV Testing and Counseling Register,District
2305A,DM,6A,TEST HIVPOS MOTHER,TREATINIT,REG HTC,MONTHLY,Mothers Tested HIV Positive,Treatment Initiation,HIV Testing and Counseling Register,District
2305A,DM,6A,TEST HIVPOS MOTHER,TREATINIT,REG HTC,MONTHLY,Mothers Tested HIV Positive,Treatment Initiation,HIV Testing and Counseling Register,District
2305A,DM,6A,TEST HIVPOS MOTHER,TREATINIT,REG HTC,MONTHLY,Mothers Tested HIV Positive,Treatment Initiation,HIV Testing and Counseling Register,District
2305A,DM,6A,TEST HIV CHILD,TREATINIT,REG HTC,MONTHLY,Number of children tested for HIV,Treatment Initiation,HIV Testing and Counseling Register,District
2305A,DM,6A,TEST HIV CHILD,TREATINIT,REG HTC,MONTHLY,Number of children tested for HIV,Treatment Initiation,HIV Testing and Counseling Register,District
2305A,DM,6A,TEST HIV CHILD,TREATINIT,REG HTC,MONTHLY,Number of children tested for HIV,Treatment Initiation,HIV Testing and Counseling Register,District
2305A,DM,7A,CONSULTDAY,STAFFING,RPT,QUARTERLY,Daily Consultation,Staffing/Workload,Report,District
2305A,DM,8A,RETENTART,SUPERVISION,PARTNER MSF,MONTH Q,Retention on ART,Supervision,Doctors without Borders,District
2305A,DM,8A,RETENTART,SUPERVISION,RPT EID,MONTH Q,Retention on ART,Supervision,EID Report,District
2305A,DM,8A,TREAT B+,SUPERVISION,PARTNER MSF,MONTH Q,Treat B+,Supervision,Doctors without Borders,District
2305A,DM,8A,TREAT B+,SUPERVISION,RPT EID,MONTH Q,Treat B+,Supervision,EID Report,District
2305A,DM,8A,HIVEXPO CHILD,SUPERVISION,PARTNER MSF,MONTH Q,Number of children exposed to HIV,Supervision,Doctors without Borders,District
2305A,DM,8A,HIVEXPO CHILD,SUPERVISION,RPT EID,MONTH Q,Number of children exposed to HIV,Supervision,EID Report,District
2305A,DM,9A,MI,SUPERVISION,MI,MI,Missing Information,Supervision,Missing Information,District
2306A,DM,7A,DRUG SUPPLY,DRUG CONSUMP,CARD STOCK,MONTHLY,Drug Supply,Drug Consumption,Stock Card,District
2306A,DM,7A,DRUG SUPPLY,DRUG CONSUMP,CARD STOCK,MONTHLY,Drug Supply,Drug Consumption,Stock Card,District
2306A,DM,7A,DRUG CONSUMP,DRUG CONSUMP,CARD STOCK,MONTHLY,Drug Consumption,Drug Consumption,Stock Card,District
2306A,DM,7A,DRUG CONSUMP,DRUG CONSUMP,CARD STOCK,MONTHLY,Drug Consumption,Drug Consumption,Stock Card,District
2306A,DM,7A,DRUG CONSUMP,DRUG CONSUMP,REG OPD,MONTHLY,Drug Consumption,Drug Consumption,Out Patients Department Register,District
2306A,DM,7A,DRUG CONSUMP,DRUG CONSUMP,REG OPD,MONTHLY,Drug Consumption,Drug Consumption,Out Patients Department Register,District
2306A,DM,7A,DRUG SUPPLY,DRUG CONSUMP,REG OPD,MONTHLY,Drug Supply,Drug Consumption,Out Patients Department Register,District
2306A,DM,7A,DRUG SUPPLY,DRUG CONSUMP,REG OPD,MONTHLY,Drug Supply,Drug Consumption,Out Patients Department Register,District
2306A,DM,9A,MI,PRIORITIZE,MI,MI,Missing Information,Prioritization,Missing Information,District
2307A,DM,2A,TESTKIT,PROTOADHERE,OFF HTC,MONTHLY,Test Kits Used,Protocol Adherence,HIV Testing and Counseling Office,District
2307A,DM,2A,TESTKIT,PROTOADHERE,OFF HTC,MONTHLY,Test Kits Used,Protocol Adherence,HIV Testing and Counseling Office,District
2307A,DM,2A,TESTKIT,PROTOADHERE,OFF HTC,MONTHLY,Test Kits Used,Protocol Adherence,HIV Testing and Counseling Office,District
2307A,DM,2A,TESTKIT,PROTOADHERE,OFF HTC,MONTHLY,Test Kits Used,Protocol Adherence,HIV Testing and Counseling Office,District
2307A,DM,3A,CD4COUNT,TREATINIT,MI,MI,CD4 Count,Treatment Initiation,Missing Information,District
2307A,DM,3A,TEST HIVPOS,TREATINIT,MI,MI,Test HIV Positive,Treatment Initiation,Missing Information,District
2307A,DM,8A,MI,TEST RESULT,MI,MI,Missing Information,Test Result Validity,Missing Information,District
2401A,DM,1A,DRUG CONSUMP,DRUG SUPPLY,OFF HMIS,MONTHLY,Drug Consumption,Drug Supply,Health Management Information System Office,District
2401A,DM,1A,DRUG CONSUMP,DRUG SUPPLY,OFF HMIS,MONTHLY,Drug Consumption,Drug Supply,Health Management Information System Office,District
2401A,DM,1A,DRUG CONSUMP,DRUG SUPPLY,OFF HMIS,MONTHLY,Drug Consumption,Drug Supply,Health Management Information System Office,District
2401A,DM,1A,DRUG CONSUMP,DRUG SUPPLY,FAC ART,MONTHLY,Drug Consumption,Drug Supply,ART Clinic,District
2401A,DM,1A,DRUG CONSUMP,DRUG SUPPLY,FAC ART,MONTHLY,Drug Consumption,Drug Supply,ART Clinic,District
2401A,DM,1A,DRUG CONSUMP,DRUG SUPPLY,FAC ART,MONTHLY,Drug Consumption,Drug Supply,ART Clinic,District
2401A,DM,1A,DRUG CONSUMP,CASELOAD,OFF HMIS,MONTHLY,Drug Consumption,Caseload,Health Management Information System Office,District
2401A,DM,1A,DRUG CONSUMP,CASELOAD,FAC ART,MONTHLY,Drug Consumption,Caseload,ART Clinic,District
2401A,DM,1A,TREAT,CASELOAD,OFF HMIS,MONTHLY,Patients Treated,Caseload,Health Management Information System Office,District
2401A,DM,1A,TREAT,CASELOAD,FAC ART,MONTHLY,Patients Treated,Caseload,ART Clinic,District
2401A,DM,2A,TREAT HOSPITALMONTH,UPTAKE,RPT WARD,MONTHLY,Treated In Hospital By Month,Increase Uptake/Demand Creation,Ward Report,District
2401A,DM,2A,TREAT HOSPITALMONTH,UPTAKE,RPT WARD,MONTHLY,Treated In Hospital By Month,Increase Uptake/Demand Creation,Ward Report,District
2401A,DM,2A,TREAT HOSPITALMONTH,UPTAKE,RPT WARD,MONTHLY,Treated In Hospital By Month,Increase Uptake/Demand Creation,Ward Report,District
2401A,DM,2A,TREAT HOSPITALMONTH,UPTAKE,RPT WARD,MONTHLY,Treated In Hospital By Month,Increase Uptake/Demand Creation,Ward Report,District
2401A,DM,2A,TREAT HOSPITALMONTH,UPTAKE,RPT WARDAUDIT,MONTHLY,Treated In Hospital By Month,Increase Uptake/Demand Creation,Monthly Ward Audit,District
2401A,DM,2A,TREAT HOSPITALMONTH,UPTAKE,RPT WARDAUDIT,MONTHLY,Treated In Hospital By Month,Increase Uptake/Demand Creation,Monthly Ward Audit,District
2401A,DM,2A,TREAT HOSPITALMONTH,UPTAKE,RPT WARDAUDIT,MONTHLY,Treated In Hospital By Month,Increase Uptake/Demand Creation,Monthly Ward Audit,District
2401A,DM,2A,TREAT HOSPITALMONTH,UPTAKE,RPT WARDAUDIT,MONTHLY,Treated In Hospital By Month,Increase Uptake/Demand Creation,Monthly Ward Audit,District
2401A,DM,2A,TREAT HOSPITALMONTH,UPTAKE,SYS HMIS,MONTHLY,Treated In Hospital By Month,Increase Uptake/Demand Creation,HMIS,District
2401A,DM,2A,TREAT HOSPITALMONTH,UPTAKE,SYS HMIS,MONTHLY,Treated In Hospital By Month,Increase Uptake/Demand Creation,HMIS,District
2401A,DM,2A,TREAT HOSPITALMONTH,UPTAKE,SYS HMIS,MONTHLY,Treated In Hospital By Month,Increase Uptake/Demand Creation,HMIS,District
2401A,DM,2A,TREAT HOSPITALMONTH,UPTAKE,SYS HMIS,MONTHLY,Treated In Hospital By Month,Increase Uptake/Demand Creation,HMIS,District
2401A,DM,2A,TEST,UPTAKE,RPT WARD,MONTHLY,Number of individuals tested,Increase Uptake/Demand Creation,Ward Report,District
2401A,DM,2A,TEST,UPTAKE,RPT WARD,MONTHLY,Number of individuals tested,Increase Uptake/Demand Creation,Ward Report,District
2401A,DM,2A,TEST,UPTAKE,RPT WARD,MONTHLY,Number of individuals tested,Increase Uptake/Demand Creation,Ward Report,District
2401A,DM,2A,TEST,UPTAKE,RPT WARD,MONTHLY,Number of individuals tested,Increase Uptake/Demand Creation,Ward Report,District
2401A,DM,2A,TEST,UPTAKE,RPT WARDAUDIT,MONTHLY,Number of individuals tested,Increase Uptake/Demand Creation,Monthly Ward Audit,District
2401A,DM,2A,TEST,UPTAKE,RPT WARDAUDIT,MONTHLY,Number of individuals tested,Increase Uptake/Demand Creation,Monthly Ward Audit,District
2401A,DM,2A,TEST,UPTAKE,RPT WARDAUDIT,MONTHLY,Number of individuals tested,Increase Uptake/Demand Creation,Monthly Ward Audit,District
2401A,DM,2A,TEST,UPTAKE,RPT WARDAUDIT,MONTHLY,Number of individuals tested,Increase Uptake/Demand Creation,Monthly Ward Audit,District
2401A,DM,2A,TEST,UPTAKE,SYS HMIS,MONTHLY,Number of individuals tested,Increase Uptake/Demand Creation,HMIS,District
2401A,DM,2A,TEST,UPTAKE,SYS HMIS,MONTHLY,Number of individuals tested,Increase Uptake/Demand Creation,HMIS,District
2401A,DM,2A,TEST,UPTAKE,SYS HMIS,MONTHLY,Number of individuals tested,Increase Uptake/Demand Creation,HMIS,District
2401A,DM,2A,TEST,UPTAKE,SYS HMIS,MONTHLY,Number of individuals tested,Increase Uptake/Demand Creation,HMIS,District
2401A,DM,2A,TEST HIVPOS,UPTAKE,RPT WARD,MONTHLY,Test HIV Positive,Increase Uptake/Demand Creation,Ward Report,District
2401A,DM,2A,TEST HIVPOS,UPTAKE,RPT WARD,MONTHLY,Test HIV Positive,Increase Uptake/Demand Creation,Ward Report,District
2401A,DM,2A,TEST HIVPOS,UPTAKE,RPT WARD,MONTHLY,Test HIV Positive,Increase Uptake/Demand Creation,Ward Report,District
2401A,DM,2A,TEST HIVPOS,UPTAKE,RPT WARD,MONTHLY,Test HIV Positive,Increase Uptake/Demand Creation,Ward Report,District
2401A,DM,2A,TEST HIVPOS,UPTAKE,RPT WARDAUDIT,MONTHLY,Test HIV Positive,Increase Uptake/Demand Creation,Monthly Ward Audit,District
2401A,DM,2A,TEST HIVPOS,UPTAKE,RPT WARDAUDIT,MONTHLY,Test HIV Positive,Increase Uptake/Demand Creation,Monthly Ward Audit,District
2401A,DM,2A,TEST HIVPOS,UPTAKE,RPT WARDAUDIT,MONTHLY,Test HIV Positive,Increase Uptake/Demand Creation,Monthly Ward Audit,District
2401A,DM,2A,TEST HIVPOS,UPTAKE,RPT WARDAUDIT,MONTHLY,Test HIV Positive,Increase Uptake/Demand Creation,Monthly Ward Audit,District
2401A,DM,2A,TEST HIVPOS,UPTAKE,SYS HMIS,MONTHLY,Test HIV Positive,Increase Uptake/Demand Creation,HMIS,District
2401A,DM,2A,TEST HIVPOS,UPTAKE,SYS HMIS,MONTHLY,Test HIV Positive,Increase Uptake/Demand Creation,HMIS,District
2401A,DM,2A,TEST HIVPOS,UPTAKE,SYS HMIS,MONTHLY,Test HIV Positive,Increase Uptake/Demand Creation,HMIS,District
2401A,DM,2A,TEST HIVPOS,UPTAKE,SYS HMIS,MONTHLY,Test HIV Positive,Increase Uptake/Demand Creation,HMIS,District
2401A,DM,2A,TEST HIVPOS INIT ART,UPTAKE,RPT WARD,MONTHLY,Number of individuals who tested HIV positive who initiate ART,Increase Uptake/Demand Creation,Ward Report,District
2401A,DM,2A,TEST HIVPOS INIT ART,UPTAKE,RPT WARD,MONTHLY,Number of individuals who tested HIV positive who initiate ART,Increase Uptake/Demand Creation,Ward Report,District
2401A,DM,2A,TEST HIVPOS INIT ART,UPTAKE,RPT WARD,MONTHLY,Number of individuals who tested HIV positive who initiate ART,Increase Uptake/Demand Creation,Ward Report,District
2401A,DM,2A,TEST HIVPOS INIT ART,UPTAKE,RPT WARD,MONTHLY,Number of individuals who tested HIV positive who initiate ART,Increase Uptake/Demand Creation,Ward Report,District
2401A,DM,2A,TEST HIVPOS INIT ART,UPTAKE,RPT WARDAUDIT,MONTHLY,Number of individuals who tested HIV positive who initiate ART,Increase Uptake/Demand Creation,Monthly Ward Audit,District
